a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
4.568986591247136894e-03,-1.004534426179574780e+00,1.753454427418691496e-07,7.003591691991492340e-08,-3.501795845995746170e-08
4.708448826681792959e-03,-1.004637580227336624e+00,1.922145043134656700e-07,7.681905632789218377e-08,-3.840952816394609188e-08
4.850720506003922128e-03,-1.004741754840223766e+00,2.105066140460757299e-07,8.417845104477287378e-08,-4.208922552238643689e-08
4.995829645849748923e-03,-1.004846939153127172e+00,2.303255038342452025e-07,9.215644019363406384e-08,-4.607822009681703192e-08
5.143804262855493532e-03,-1.004953122095807450e+00,2.517813172777609581e-07,1.007980055972746472e-07,-5.039900279863732359e-08
5.294672373657372672e-03,-1.005060292394864163e+00,2.749909373847845821e-07,1.101509086639244107e-07,-5.507545433196220533e-08
5.448461994891613466e-03,-1.005168438575668510e+00,3.000783276509983853e-07,1.202658329718553214e-07,-6.013291648592766068e-08
5.605201143194431766e-03,-1.005277548964259804e+00,3.271748869296772900e-07,1.311965327350480479e-07,-6.559826636752402397e-08
5.764917835202053829e-03,-1.005387611689207539e+00,3.564198185167428648e-07,1.429999873362341778e-07,-7.149999366811708891e-08
5.927640087550697240e-03,-1.005498614683438596e+00,3.879605138840852348e-07,1.557365621178427833e-07,-7.786828105892139167e-08
6.093395916876580450e-03,-1.005610545686034474e+00,4.219529515038526790e-07,1.694701756256674718e-07,-8.473508781283373592e-08
6.262213339815929716e-03,-1.005723392243992986e+00,4.585621112159192127e-07,1.842684735043984466e-07,-9.213423675219922332e-08
6.434120373004963492e-03,-1.005837141713962435e+00,4.979624046003942432e-07,2.002030092485572547e-07,-1.001015046242786273e-07
6.609145033079900228e-03,-1.005951781263944689e+00,5.403381218268670446e-07,2.173494320168328227e-07,-1.086747160084164114e-07
6.787315336676966182e-03,-1.006067297874968736e+00,5.858838954619861658e-07,2.357876817223188876e-07,-1.178938408611594438e-07
6.968659300432376337e-03,-1.006183678342736254e+00,6.348051817270716881e-07,2.556021916157257122e-07,-1.278010958078628561e-07
7.153204940982356951e-03,-1.006300909279240541e+00,6.873187597076942683e-07,2.768820985832745791e-07,-1.384410492916372896e-07
7.340980274963128209e-03,-1.006418977114358126e+00,7.436532490274830414e-07,2.997214613856543050e-07,-1.498607306928271525e-07
7.532013319010905095e-03,-1.006537868097413746e+00,8.040496465090001402e-07,3.242194870691831293e-07,-1.621097435345915646e-07
7.726332089761916468e-03,-1.006657568298721550e+00,8.687618823551286774e-07,3.504807657851096720e-07,-1.752403828925548360e-07
7.923964603852376443e-03,-1.006778063611100116e+00,9.380573963952472791e-07,3.786155142578474874e-07,-1.893077571289237437e-07
8.124938877918513880e-03,-1.006899339751365474e+00,1.012217734951461925e-06,4.087398281478708337e-07,-2.043699140739354169e-07
8.329282928596543761e-03,-1.007021382261798381e+00,1.091539168891216348e-06,4.409759435599548162e-07,-2.204879717799774081e-07
8.537024772522685406e-03,-1.007144176511591382e+00,1.176333333443932899e-06,4.754525079524986879e-07,-2.377262539762493440e-07
8.748192426333165073e-03,-1.007267707698272341e+00,1.266927890370725832e-06,5.123048607087478328e-07,-2.561524303543739164e-07
8.962813906664202079e-03,-1.007391960849106649e+00,1.363667213087809718e-06,5.516753236358775882e-07,-2.758376618179387941e-07
9.180917230152014011e-03,-1.007516920822478568e+00,1.466913095355967345e-06,5.937135016631135946e-07,-2.968567508315567973e-07
9.402530413432827125e-03,-1.007642572309253248e+00,1.577045484160387733e-06,6.385765940153238030e-07,-3.192882970076619015e-07
9.627681473142855537e-03,-1.007768899834116993e+00,1.694463237417121994e-06,6.864297161438076806e-07,-3.432148580719038403e-07
9.856398425918328973e-03,-1.007895887756900200e+00,1.819584907154812110e-06,7.374462327014246145e-07,-3.687231163507123073e-07
1.008870928839546328e-02,-1.008023520273879425e+00,1.952849548832515989e-06,7.918081018545591935e-07,-3.959040509272795967e-07
1.032464207721047432e-02,-1.008151781419063475e+00,2.094717557467241676e-06,8.497062312299752052e-07,-4.248531156149876026e-07
1.056422480899959528e-02,-1.008280655065459719e+00,2.245671531257298658e-06,9.113408458000694185e-07,-4.556704229000347093e-07
1.080748550039903333e-02,-1.008410124926324869e+00,2.406217163400622485e-06,9.769218680156483402e-07,-4.884609340078241701e-07
1.105445216804502168e-02,-1.008540174556396662e+00,2.576884162820237682e-06,1.046669310501002545e-06,-5.233346552505012723e-07
1.130515282857377617e-02,-1.008670787353111109e+00,2.758227204522207371e-06,1.120813681631675351e-06,-5.604068408158376754e-07
1.155961549862151438e-02,-1.008801946557803753e+00,2.950826910324894497e-06,1.199596404321116967e-06,-5.997982021605584834e-07
1.181786819482446259e-02,-1.008933635256893391e+00,3.155290860711898134e-06,1.283270248348153969e-06,-6.416351241740769846e-07
1.207993893381884183e-02,-1.009065836383053361e+00,3.372254638574761275e-06,1.372099776563034016e-06,-6.860498882815170079e-07
1.234585573224086449e-02,-1.009198532716366614e+00,3.602382905625489942e-06,1.466361805315682078e-06,-7.331809026578410390e-07
1.261564660672676204e-02,-1.009331706885466806e+00,3.846370512273070613e-06,1.566345879455738904e-06,-7.831729397278694520e-07
1.288933957391274684e-02,-1.009465341368665836e+00,4.104943641772340406e-06,1.672354762259846288e-06,-8.361773811299231441e-07
1.316696265043504864e-02,-1.009599418495068068e+00,4.378860989468161421e-06,1.784704940647741725e-06,-8.923524703238708624e-07
1.344854385292988501e-02,-1.009733920445671451e+00,4.668914977972336971e-06,1.903727146054649597e-06,-9.518635730273247987e-07
1.373411119803347007e-02,-1.009868829254455536e+00,4.975933009125680067e-06,2.029766891333644049e-06,-1.014883445666822025e-06
1.402369270238203527e-02,-1.010004126809458169e+00,5.300778753612542502e-06,2.163185024067706081e-06,-1.081592512033853041e-06
1.431731638261179128e-02,-1.010139794853840201e+00,5.644353479110229508e-06,2.304358296677330143e-06,-1.152179148338665072e-06
1.461501025535896954e-02,-1.010275814986938414e+00,6.007597417871361569e-06,2.453679953715831700e-06,-1.226839976857915850e-06
1.491680233725978591e-02,-1.010412168665307586e+00,6.391491174652323879e-06,2.611560336750544693e-06,-1.305780168375272346e-06
1.522272064495045624e-02,-1.010548837203752104e+00,6.797057175917223055e-06,2.778427507234533141e-06,-1.389213753617266570e-06
1.553279319506721025e-02,-1.010685801776346482e+00,7.225361161262101142e-06,2.954727887779551844e-06,-1.477363943889775922e-06
1.584704800424626206e-02,-1.010823043417447886e+00,7.677513718020735126e-06,3.140926922247379685e-06,-1.570463461123689842e-06
1.616551308912383966e-02,-1.010960543022696889e+00,8.154671860029306520e-06,3.337509755082961944e-06,-1.668754877541480972e-06
1.648821646633616064e-02,-1.011098281350010675e+00,8.658040651543706342e-06,3.544981930319061042e-06,-1.772490965159530521e-06
1.681518615251944432e-02,-1.011236239020566252e+00,9.188874877320072200e-06,3.763870110688584710e-06,-1.881935055344292355e-06
1.714645016430991348e-02,-1.011374396519776564e+00,9.748480759885581529e-06,3.994722817287029953e-06,-1.997361408643514976e-06
1.748203651834377703e-02,-1.011512734198257935e+00,1.033821772504390786e-05,4.238111190233910967e-06,-2.119055595116955483e-06
1.782197323125727512e-02,-1.011651232272789303e+00,1.095950021667673760e-05,4.494629770788484673e-06,-2.247314885394242337e-06
1.816628831968662358e-02,-1.011789870827264348e+00,1.161379956191960512e-05,4.764897305381259451e-06,-2.382448652690629726e-06
1.851500980026804175e-02,-1.011928629813638514e+00,1.230264588780884687e-05,5.049557572029529839e-06,-2.524778786014764920e-06
1.886816568963774546e-02,-1.012067489052866476e+00,1.302763009051315214e-05,5.349280229611263798e-06,-2.674640114805631899e-06
1.922578400443195057e-02,-1.012206428235834732e+00,1.379040585828136317e-05,5.664761690478195104e-06,-2.832380845239097552e-06
