z,k_h_per_Mpc,P_k_Mpc_over_h_cubed
5.000000000000000000e-01,1.079464397042805565e-03,2.549849146314615609e+03
5.000000000000000000e-01,1.140870691730333378e-03,2.683862546874077907e+03
5.000000000000000000e-01,1.205770138241656726e-03,2.824387051890941621e+03
5.000000000000000000e-01,1.274361447632801382e-03,2.971666518907524733e+03
5.000000000000000000e-01,1.346854634815390552e-03,3.125945490022420472e+03
5.000000000000000000e-01,1.423471661586545034e-03,3.287464115412712999e+03
5.000000000000000000e-01,1.504447116238119076e-03,3.456460888832481487e+03
5.000000000000000000e-01,1.590028931826110905e-03,3.633167490694409935e+03
5.000000000000000000e-01,1.680479145299467250e-03,3.817806091303084031e+03
5.000000000000000000e-01,1.776074699812612472e-03,4.010589599140271275e+03
5.000000000000000000e-01,1.877108292678233590e-03,4.211719012296726760e+03
5.000000000000000000e-01,1.983889271556624374e-03,4.421378364260590388e+03
5.000000000000000000e-01,2.096744581625549584e-03,4.639732544840159790e+03
5.000000000000000000e-01,2.216019766630720773e-03,4.866924054005025027e+03
5.000000000000000000e-01,2.342080026881914519e-03,5.103071453089225542e+03
5.000000000000000000e-01,2.475311337434142698e-03,5.348263612537811241e+03
5.000000000000000000e-01,2.616121629877566235e-03,5.602556339409648899e+03
5.000000000000000000e-01,2.764942041354561970e-03,5.865968421206301173e+03
5.000000000000000000e-01,2.922228234628263671e-03,6.138476040156328963e+03
5.000000000000000000e-01,3.088461793244353694e-03,6.420010344187058763e+03
5.000000000000000000e-01,3.264151696057901279e-03,6.710448504215662069e+03
5.000000000000000000e-01,3.449835875639951227e-03,7.009609784719194977e+03
5.000000000000000000e-01,3.646082865335483099e-03,7.317248811274858781e+03
5.000000000000000000e-01,3.853493540015715240e-03,7.633051037811126662e+03
5.000000000000000000e-01,4.072702955854658538e-03,7.956625501546321175e+03
5.000000000000000000e-01,4.304382294763009834e-03,8.287496736993698505e+03
5.000000000000000000e-01,4.549240919432882661e-03,8.625107469787746595e+03
5.000000000000000000e-01,4.808028545285615053e-03,8.968792925959776767e+03
5.000000000000000000e-01,5.081537535972731161e-03,9.317787890254341619e+03
5.000000000000000000e-01,5.370605329458564246e-03,9.671231200574553441e+03
5.000000000000000000e-01,5.676117002112701995e-03,1.002803526106846039e+04
5.000000000000000000e-01,5.999007978663178052e-03,1.038752355952626931e+04
5.000000000000000000e-01,6.340266896307700586e-03,1.074774695534184320e+04
5.000000000000000000e-01,6.700938631752453335e-03,1.110739560205593807e+04
5.000000000000000000e-01,7.082127500446665572e-03,1.146503563105099965e+04
5.000000000000000000e-01,7.485000637808538956e-03,1.181885368389361611e+04
5.000000000000000000e-01,7.910791572795144999e-03,1.216668611617699207e+04
5.000000000000000000e-01,8.360804004758115235e-03,1.250713875198377718e+04
5.000000000000000000e-01,8.836415795149083971e-03,1.283756342816331562e+04
5.000000000000000000e-01,9.339083186296897807e-03,1.315575902613833750e+04
5.000000000000000000e-01,9.870345260173661248e-03,1.345896951707519838e+04
5.000000000000000000e-01,1.043182865080171523e-02,1.374439233859908927e+04
5.000000000000000000e-01,1.102525252473012148e-02,1.400907874025381170e+04
