ell,TT,EE,BB,TE
2.100000000000000000e+01,9.217581417052232382e+02,6.255966016774998882e-03,1.426687290398356183e-04,1.375150683268218099e+00
2.200000000000000000e+01,9.356103594722105754e+02,7.388241202414185492e-03,1.563671489011565167e-04,1.451173223761774489e+00
2.300000000000000000e+01,9.495591723193451799e+02,8.661182276623618018e-03,1.707058788933291538e-04,1.527551403369558303e+00
2.400000000000000000e+01,9.639025328704341291e+02,1.007756692458531417e-02,1.856865388220688422e-04,1.602780709294620909e+00
2.500000000000000000e+01,9.788282012605260434e+02,1.163044449934458845e-02,2.013106844548235837e-04,1.668603638124154021e+00
2.600000000000000000e+01,9.938874904112396962e+02,1.332241533777122310e-02,2.175797965744273761e-04,1.727797735819276204e+00
2.700000000000000000e+01,1.009405163044561050e+03,1.517938024854511778e-02,2.344952719989262411e-04,1.781076994094929589e+00
2.800000000000000000e+01,1.025136108051527799e+03,1.721010610874031468e-02,2.520584141808091070e-04,1.823944468781319994e+00
2.900000000000000000e+01,1.041087883459716750e+03,1.943024709686862195e-02,2.702704253408274183e-04,1.862360971285726308e+00
3.000000000000000000e+01,1.057541503632354761e+03,2.185487440789870422e-02,2.891323996905867757e-04,1.890190687394710078e+00
3.100000000000000000e+01,1.073814048057429773e+03,2.448070396275271038e-02,3.086453164520861847e-04,1.916439863821665757e+00
3.200000000000000000e+01,1.090618050508785245e+03,2.733030631919275075e-02,3.288100357038740659e-04,1.934597222472709710e+00
3.300000000000000000e+01,1.107434311826217936e+03,3.038059177049739004e-02,3.496272946850175769e-04,1.945325327299729512e+00
3.400000000000000000e+01,1.124292443627703733e+03,3.366824427632100769e-02,3.710977036752150762e-04,1.951896094733911013e+00
3.500000000000000000e+01,1.141885684881385941e+03,3.717745663567877112e-02,3.932217451011809717e-04,1.943871165773002341e+00
3.600000000000000000e+01,1.159381840570632448e+03,4.091170346714275569e-02,4.159997733028098204e-04,1.929663314570914112e+00
3.700000000000000000e+01,1.177139113053216306e+03,4.489480788640146797e-02,4.394320142374804608e-04,1.902870006566925731e+00
3.800000000000000000e+01,1.195093322297381292e+03,4.912135673231103616e-02,4.635185675330663353e-04,1.865400078959212227e+00
3.900000000000000000e+01,1.213197415544440446e+03,5.359602285631989704e-02,4.882594089350757996e-04,1.817616568855160875e+00
4.000000000000000000e+01,1.231477334909411638e+03,5.832861865661679440e-02,5.136543968643922592e-04,1.758474693919318543e+00
4.100000000000000000e+01,1.249931793678175836e+03,6.332849331760223577e-02,5.397032730237753470e-04,1.687350969967094549e+00
4.200000000000000000e+01,1.268562011873890469e+03,6.860262497229636935e-02,5.664056709301782452e-04,1.605240134666805929e+00
4.300000000000000000e+01,1.287356837231599229e+03,7.415723139733333691e-02,5.937611224732867706e-04,1.513142237086237074e+00
4.400000000000000000e+01,1.306342260024097641e+03,7.999637554012004048e-02,6.217690671361962226e-04,1.410452842423756126e+00
4.500000000000000000e+01,1.325559127905544756e+03,8.612129697377773896e-02,6.504288577316727840e-04,1.296262993385802309e+00
4.600000000000000000e+01,1.344955649794571627e+03,9.253131334322532708e-02,6.797397719545724814e-04,1.170112686696068938e+00
4.700000000000000000e+01,1.364518037109844954e+03,9.922979317459379445e-02,7.097010219712639742e-04,1.031480527951468051e+00
4.800000000000000000e+01,1.384229002487267053e+03,1.062142460622889639e-01,7.403117650976660021e-04,8.798112334925433098e-01
4.900000000000000000e+01,1.404086115445945097e+03,1.134814382069125049e-01,7.715711142622381016e-04,7.146238420222682519e-01
5.000000000000000000e+01,1.424153800702244325e+03,1.210392777908531614e-01,8.034781528137640780e-04,5.355763406810816196e-01
5.100000000000000000e+01,1.444497082570246903e+03,1.288955681139097864e-01,8.360319415719339115e-04,3.426138419844954597e-01
5.200000000000000000e+01,1.465057101945088334e+03,1.370532375083733934e-01,8.692315342438452748e-04,1.366277952271529317e-01
5.300000000000000000e+01,1.485753313984576607e+03,1.455106524636768373e-01,9.030759889366989524e-04,-8.146366460381074259e-02
5.400000000000000000e+01,1.506557171777265012e+03,1.542669218676777088e-01,9.375643806307259369e-04,-3.116015306579508759e-01
5.500000000000000000e+01,1.527454984452289636e+03,1.633226398756466025e-01,9.726958134828858540e-04,-5.540963970576427977e-01
5.600000000000000000e+01,1.548552647988331273e+03,1.726724791775628154e-01,1.008469432904297164e-03,-8.098901824908862901e-01
5.700000000000000000e+01,1.569958993601470411e+03,1.823141698012667455e-01,1.044884435971993580e-03,-1.079885342007582683e+00
5.800000000000000000e+01,1.591642446843355629e+03,1.922484344115502897e-01,1.081940085841945733e-03,-1.364295194350013229e+00
5.900000000000000000e+01,1.613526861996043863e+03,2.024767382728238085e-01,1.119635720884810731e-03,-1.663045552691493789e+00
6.000000000000000000e+01,1.635602947216237226e+03,2.129931181126297757e-01,1.157970765596705743e-03,-1.975646215687564711e+00
6.100000000000000000e+01,1.657885139704596440e+03,2.237919604172396992e-01,1.196944740884099212e-03,-2.301604330098771189e+00
6.200000000000000000e+01,1.680371371627527878e+03,2.348690511676319592e-01,1.236557273162597684e-03,-2.640773073542558524e+00
6.300000000000000000e+01,1.703068447324610815e+03,2.462212690503984003e-01,1.276808103520335686e-03,-2.993106971935385552e+00
6.400000000000000000e+01,1.725968312818236882e+03,2.578447499544537225e-01,1.317697095137736934e-03,-3.358553102508357480e+00
6.500000000000000000e+01,1.749085197508550436e+03,2.697378583726477430e-01,1.359224241264091193e-03,-3.737117950702540270e+00
6.600000000000000000e+01,1.772449379139101666e+03,2.818925039786114861e-01,1.401389669786158023e-03,-4.128905940713756273e+00
6.700000000000000000e+01,1.796051337043032845e+03,2.943015187987638726e-01,1.444193650966739580e-03,-4.533573900434474169e+00
6.800000000000000000e+01,1.819867885447230947e+03,3.069549943501905243e-01,1.487636600710034313e-03,-4.950661177964396309e+00
6.900000000000000000e+01,1.843868408458419253e+03,3.198452510254885528e-01,1.531719084624023029e-03,-5.379736823422226699e+00
