t,a,R_cal,Rdot,H,W,F,Z,U,Omega_m_R,Omega_r_R,Omega_cal,closure_sum,q,G_unscreened_over_G
0.812993127224272,0.2912030964244811,39096.122331526596,-23950.542413567866,0.8244170431398752,5.115570674501103e-06,1.000025577722527,1.3084531662907835e-12,3.9253193380671945e-11,0.9930148723481546,0.006820084570121851,0.00016504308172362022,1.0,0.5028379881769398,0.999974422931676
0.8326054628157399,0.29572076094165867,38607.22630193373,-24342.646788747505,0.8055632106177918,5.180350496194112e-06,1.0000259016183008,1.3418015631709294e-12,4.0253629836064524e-11,0.99309960103855,0.00671646858932893,0.00018393037212106309,1.0,0.5027223761572603,0.9999740990525756
0.8522177984072081,0.3003085115703522,38118.33027234087,-24734.75116392715,0.7871419881569596,5.2467920082722e-06,1.0000262338223973,1.3764413189034514e-12,4.1292806254161575e-11,0.9931807041888846,0.00661440262878607,0.00020489318232928396,1.0,0.5026005586918654,0.9999737668657981
0.871830133998676,0.30496743561197764,37629.434242748015,-25126.855539106793,0.7691434944886297,5.314959978345897e-06,1.0000265746586476,1.412439978570931e-12,4.2372748934607445e-11,0.9932579793838396,0.0065138625531651955,0.00022815806299533866,1.0000000000000002,0.5024717457135441,0.9999734260475461
0.8914424695901441,0.3096986372361203,37140.53821315515,-25518.95991428643,0.7515580808722253,5.384922584257105e-06,1.0000269244679343,1.4498695619221109e-12,4.349561841280369e-11,0.9933311987072692,0.006414824473056587,0.000253976819674527,1.0000000000000002,0.5023350568867659,0.9999730762569732
0.9110548051816125,0.3145032377422236,36651.64218356228,-25911.064289466085,0.734376326152759,5.456751641523126e-06,1.000027283609327,1.4888069238632667e-12,4.4663720274250374e-11,0.9934001058194292,0.006317264731205407,0.0002826294493651829,0.9999999999999998,0.5021895104705898,0.9999727171350481
0.9306671407730802,0.3193823758253379,36162.746153969434,-26303.16866464572,0.7175890319817595,5.530522849229942e-06,1.0000276524613128,1.5293341492927241e-12,4.587951699913763e-11,0.9934644126734755,0.006221159887775248,0.00031442743874913093,0.9999999999999999,0.5020340107119168,0.9999723483033247
0.9502794763645487,0.3243372078459934,35673.850124376564,-26695.273039825373,0.7011872182034486,5.606316056144612e-06,1.000028031423127,1.571538986069244e-12,4.714564095090413e-11,0.9935237958236615,0.006126486704512923,0.0003497174718255069,0.9999999999999999,0.5018673335594901,0.9999719693626118
0.9698918119560167,0.32936890810425723,35184.9540947837,-27087.377415005012,0.685162118408615,5.6842155490133434e-06,1.0000284209161936,1.6155153203822534e-12,4.8464908636795304e-11,0.9935778922709346,0.0060332221276723,0.00038888560139315706,1.0,0.501688110457355,0.999971579891532
0.9895041475474843,0.3344786691180451,34696.05806519085,-27479.481790184647,0.6695051756593875,5.7643103652336145e-06,1.0000288213856898,1.6613636993369845e-12,4.9840336384806055e-11,0.9936262947838252,0.005941343269535386,0.0004323619466397797,1.0000000000000004,0.5014842156698194,0.9999711794449585
1.0104226618789494,0.3396677019057486,34152.06965739909,-27847.84063970716,0.6542082517857393,5.856126166908207e-06,1.0000292804593636,1.7147106841373507e-12,5.144071803215831e-11,0.9936678515154937,0.005850823295476106,0.0004813251890303007,1.0000000000000002,0.5011989376027408,0.9999707203979566
1.0377025731292144,0.34493723627324724,33339.768442031884,-28100.553208115754,0.6392642645128471,5.998805918120154e-06,1.0000299938496622,1.7992836221636692e-12,5.3977861053658066e-11,0.9936984909485445,0.00576161913793135,0.0005398899135239722,0.9999999999999998,0.5008781504581776,0.9999700070499419
1.06498248437948,0.35028852110537495,32527.467226664667,-28353.265776524353,0.624664457798203,6.148611844997275e-06,1.0000307428701978,1.8902713810220394e-12,5.6707444080104844e-11,0.993720132766564,0.005673723647185286,0.0006061435862503916,0.9999999999999998,0.5005673697536714,0.9999692580748972
1.0922623956297464,0.35572282466190597,31715.166011297424,-28605.978344932955,0.6104011760079038,6.3060914992674975e-06,1.0000315302586624,1.98833949985669e-12,5.964943267902372e-11,0.9937316825738558,0.005587112289003893,0.0006812051371403224,1.0,0.5002179306788896,0.9999684707354635
1.1195423068800114,0.3612414348781336,30902.864795930218,-28858.69091334155,0.596466974935675,6.471850003250778e-06,1.000032359040592,2.094242123228855e-12,6.282645048224363e-11,0.9937318624862201,0.005501760133476715,0.0007663773803033413,1.0000000000000002,0.49982327514082314,0.9999676420064817
