xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
2.0,1.0,1.2589254117941638e-08,79432822.47242837,9.999999999991538e-09,0.0,3.0000000000000394e-08,3.956920589496783e-21,3.0000000000000394e-08,3.956920589496782e-21,4.0000000000000524e-08,5.275894119325477e-21,4.0000000000000524e-08,5.2758941193254766e-21
2.0,1.0,1.5848931924611133e-08,63095733.44801933,9.999999999987101e-09,0.0,3.0000000000002174e-08,1.2544123687968184e-20,3.0000000000002174e-08,1.2544123687968176e-20,4.000000000000289e-08,1.6725498250610506e-20,4.000000000000289e-08,1.6725498250610506e-20
2.0,1.0,1.9952623149688776e-08,50118722.36272728,9.999999999980687e-09,0.0,3.0000000000006827e-08,2.982333734252812e-20,3.0000000000006827e-08,2.9823337342528105e-20,4.000000000000909e-08,3.976444978999934e-20,4.000000000000909e-08,3.976444978999934e-20
2.0,1.0,2.511886431509575e-08,39810716.055349804,9.999999999971489e-09,0.0,3.0000000000017117e-08,6.30228549041276e-20,3.0000000000017117e-08,6.302285490412758e-20,4.000000000002281e-08,8.403047320541518e-20,4.000000000002281e-08,8.403047320541517e-20
2.0,1.0,3.16227766016837e-08,31622775.60168389,9.999999999958451e-09,1.2339470540873425e-24,3.000000000003803e-08,1.2485368575819044e-19,3.000000000003803e-08,1.248536857581904e-19,4.00000000000507e-08,1.6647158101075096e-19,4.00000000000507e-08,1.664715810107509e-19
2.0,1.0,3.981071705534971e-08,25118863.315095812,9.999999999940215e-09,0.0,3.000000000007848e-08,2.37454592352345e-19,3.000000000007848e-08,2.3745459235234494e-19,4.0000000000104616e-08,3.1660612313623124e-19,4.0000000000104616e-08,3.1660612313623124e-19
2.0,1.0,5.0118723362727164e-08,19952622.14968882,9.999999999915173e-09,0.0,3.0000000000154144e-08,4.390563515285298e-19,3.0000000000154144e-08,4.390563515285297e-19,4.000000000020551e-08,5.854084687047598e-19,4.000000000020551e-08,5.854084687047598e-19
2.0,1.0,6.309573444801918e-08,15848930.924611172,9.99999999988161e-09,1.2221982552338298e-24,3.000000000029242e-08,7.952451205271599e-19,3.000000000029242e-08,7.952451205271597e-19,4.000000000038988e-08,1.0603268273715222e-18,4.000000000038988e-08,1.0603268273715225e-18
2.0,1.0,7.943282347242789e-08,12589253.117941713,9.999999999838103e-09,0.0,3.000000000054063e-08,1.417880800830058e-18,3.000000000054063e-08,1.4178808008300575e-18,4.0000000000720826e-08,1.8905077344501928e-18,4.0000000000720826e-08,1.890507734450194e-18
2.0,1.0,9.999999999999994e-08,9999999.000000006,9.999999999784523e-09,0.0,3.000000000098007e-08,2.4967723459754783e-18,3.000000000098007e-08,2.4967723459754776e-18,4.0000000001306754e-08,3.3290297946733713e-18,4.0000000001306754e-08,3.329029794673373e-18
2.0,1.0,1.258925411794165e-07,7943281.347242828,9.999999999723952e-09,0.0,3.0000000001749524e-08,4.352598640272916e-18,3.0000000001749524e-08,4.3525986402729145e-18,4.000000000233269e-08,5.803464853833429e-18,4.000000000233269e-08,5.803464853833433e-18
2.0,1.0,1.5848931924611096e-07,6309572.444801948,9.99999999966656e-09,0.0,3.000000000308466e-08,7.52502222229011e-18,3.000000000308466e-08,7.525022222290107e-18,4.000000000411288e-08,1.0033362963493325e-17,4.000000000411288e-08,1.0033362963493336e-17
2.0,1.0,1.995262314968876e-07,5011871.336272731,9.999999999636785e-09,0.0,3.000000000538394e-08,1.2919117883666032e-17,3.000000000538394e-08,1.2919117883666029e-17,4.000000000717858e-08,1.7225490512913253e-17,4.000000000717858e-08,1.7225490512913287e-17
