a,z,k_over_H0,kinetic_L_zeta_dot_zeta,gradient_G,sound_speed_sq,constraint_discriminant,kinetic_numerator,kinetic_cancellation_scale,scalar_kinetic_degenerate,Q,m5_bar_hat
1.399050314137293e-07,7147704.7679418605,237.13737056616552,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,365.1741272548377,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,562.341325190349,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,865.9643233600654,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,1333.521432163324,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,2053.525026457146,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,3162.2776601683795,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,4869.675251658631,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,7498.942093324558,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,11547.819846894581,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,17782.794100389227,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,27384.196342643612,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,42169.65034285822,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,64938.16315762113,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.399050314137293e-07,7147704.7679418605,100000.0,0.0,nan,nan,2.4537952428685557e+51,0.0,5.763499142498735e+38,1,1.0,-5.951444907688521e-32
1.9573417814876615e-07,5108968.774506925,0.0001,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.0001539926526059492,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.00023713737056616554,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.0003651741272548377,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.0005623413251903491,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.0008659643233600654,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
