xi_completion,a,z,E,H_km_s_Mpc,Omega_m,Omega_r,Omega_R,Q_tensor,c_T,dL_GW_over_dL_EM,gamma_PPN,beta_PPN,alpha1_PPN,alpha2_PPN,Cassini_minus_2loglike
1.0,1.5369745159352741e-06,650627.874865556,4075326992.0953484,274514026187.54266,0.005203426280957401,0.9947965737190425,2.885028301980093e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.634305842723136e-06,611879.5757518226,3604961817.257182,242830228010.4438,0.005531118840658491,0.9944688811593408,3.510499736907446e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.7378008287493763e-06,575438.9373371566,3188918220.6909,214805531345.739,0.005879326301383608,0.9941206736986162,4.2715019043140063e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.8478497974222906e-06,541168.5265464637,2820920723.5181313,190017219936.1813,0.006249317148960095,0.9937506828510394,5.197381609151955e-16,1.9999999999999998,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.964867789993466e-06,508939.0951518094,2495418937.278694,168091419615.09283,0.0066424362493446845,0.9933575637506548,6.323834113260202e-16,1.9999999999999998,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.0892961308540407e-06,478629.0923226381,2207503777.448141,148697454448.90677,0.007060109180840147,0.9929398908191593,7.694274690139368e-16,1.9999999999999996,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.2216040919558116e-06,450124.20620613365,1952833359.1667547,131542855073.4726,0.007503846776958078,0.9924961532230409,9.361505979100997e-16,1.9999999999999996,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.3622906626344603e-06,423316.93280882115,1727567456.296474,116368943856.1305,0.00797524988538809,0.992024750114611,1.1389744781917516e-15,1.9999999999999996,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.5118864315095823e-06,398106.1705534969,1528309534.222911,102946930225.25528,0.0084760143479365,0.9915239856520618,1.3857085594414873e-15,1.9999999999999996,1.0,0.9316924531362332,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.6709555875589853e-06,374396.8389823811,1352055481.1775055,91074457212.11678,0.009007936205557152,0.990992063794441,1.685849472936585e-15,1.9999999999999993,1.0,0.9316924531362333,1.0,1.0,0.0,0.0,0.8336483931947068
