xi_completion,a,z,root_k_over_H0,min_mu_zeta_relative_on_k_grid,min_Q_tensor_on_k_grid,min_constraint_determinant_on_k_grid
1.0,0.002154434690031882,463.15888336127824,,1.0000000000021847,1.9999997602693953,285253751.1928675
1.0,0.0023713737056616554,420.6965034285822,,1.0000000000019849,1.999999695519668,211561496.76457343
1.0,0.002610157215682533,382.1186849557293,,1.0000000000018032,1.9999996135607931,157048637.34193054
1.0,0.002872984833353663,347.07005884284126,,1.0000000000016382,1.9999995098690257,116679730.68110314
1.0,0.0031622776601683794,315.2277660168379,,1.0000000000014884,1.999999378739437,86754760.21536826
1.0,0.003480700588428406,286.2984833353668,,1.000000000001352,1.9999992129786595,64550905.22602286
1.0,0.003831186849557285,260.01572156825387,,1.0000000000012286,1.9999990035178763,48061629.341377005
1.0,0.004216965034285823,236.13737056616552,,1.0000000000011162,1.9999987389253717,35806286.11355601
1.0,0.004641588833612773,214.44346900318865,,1.000000000001014,1.999998404792612,26690928.02976368
1.0,0.005108969774506924,194.73417814876615,,1.0000000000009213,1.9999979829610677,19906370.21446988
1.0,0.005623413251903491,176.82794100389228,,1.000000000000837,1.9999974505485172,14853412.85413529
1.0,0.006189658188912597,160.5598098439876,,1.0000000000007605,1.9999967787228594,11087899.503988162
1.0,0.006812920690579608,145.77992676220705,,1.0000000000006908,1.9999959311580326,8280288.927756746
1.0,0.007498942093324558,132.35214321633242,,1.0000000000006277,1.999994862089687,6185864.414436223
1.0,0.008254041852680173,120.15276586285901,,1.0000000000005702,1.9999935138669462,4622752.386100681
1.0,0.009085175756516862,109.06941712522102,,1.0000000000005183,1.9999918138697814,3455682.9010425624
1.0,0.01,99.0,,1.0000000000004707,1.9999896706277482,2583978.1355240354
1.0,0.01100694171252208,89.85175756516881,,1.0000000000004277,1.9999869689333856,1932658.3735356715
1.0,0.012115276586285877,81.5404185268019,,1.0000000000003886,1.9999835636901349,1445849.6697451205
1.0,0.01333521432163324,73.98942093324558,,1.000000000000353,1.9999792721674463,1081892.9101145489
1.0,0.014677992676220676,67.12920690579622,,1.0000000000003209,1.9999738642512428,809711.9716397299
1.0,0.01615598098439873,60.8965818891261,,1.0000000000002913,1.9999670501716902,606114.6485492132
1.0,0.01778279410038923,55.2341325190349,,1.000000000000265,1.9999584650567725,453785.27112658066
1.0,0.019573417814876575,50.08969774506935,,1.0000000000002407,1.9999476494925528,339790.7179586108
1.0,0.021544346900318822,45.41588833612782,,1.0000000000002187,1.999934025060638,254467.8061398085
1.0,0.023713737056616554,41.169650342858226,,1.0000000000001987,1.9999168635595783,190594.21322546588
1.0,0.026101572156825334,37.311868495572924,,1.0000000000001807,1.9998952482864254,142770.34108759626
1.0,0.028729848333536628,33.80700588428413,,1.000000000000164,1.9998680253412369,106958.22141459597
