a,z,E,Omega_m,Omega_r,Omega_R,closure,dlnE_dln_a,q,w_R,Q_T,alpha_M,dL_GW_over_dL_EM,source,X,Q_X,Q_XX,V,V_X,V_XX,L_R3,L_KR3_trace,F_XX
0.0023713737056616554,420.6965034285822,5034.172955773294,0.8876974866167631,0.1123016778625889,8.355206480267571e-07,1.0,-1.556149845689388,0.5561498456893881,-0.7925133539080814,0.9999996786459046,-8.001204586586849e-07,0.8548707978406623,25342876.174125213,5034.172955773294,1.021352577968529e-10,-5.2749810661328273e-14,1059520319.5218406,210465.63298735727,1.2342976407888728e-06,0.9999996786459046,3.40450859322843e-11,-5.9999989970773075
0.00290068119869315,343.7466065731498,3682.833931975647,0.9062687041885638,0.09372991812373593,1.3776877002968362e-06,0.9999999999999999,-1.5468633187492309,0.5468633187492309,-0.7937515575001024,0.9999994701201153,-1.3114435061574784e-06,0.8548708869720089,13563247.084566776,3682.833931975647,2.3020527974566568e-10,-1.6251987965129063e-13,775109897.8207428,210465.63085161796,2.0309589205771316e-06,0.9999994701201153,7.673509324855523e-11,-5.999998350554597
0.0035481338923357532,280.8382931264455,2698.896353508413,0.9220380458880567,0.07795968871521995,2.265396723774666e-06,1.0000000000000004,-1.5389771435412805,0.5389771435412805,-0.7948030475278292,0.9999991286935678,-2.1454749640999887e-06,0.8548710329099313,7284025.025737201,2698.896353508413,5.165408778078497e-10,-4.976131377439954e-13,568024855.8055663,210465.6282909254,3.342917348192006e-06,0.9999991286935678,1.7218029260261657e-10,-5.999997284423278
0.004340102636447431,229.40929760558492,1980.7297648743843,0.9353427816061832,0.06465350199910042,3.7163947164055865e-06,1.0,-1.532322315350387,0.5323223153503871,-0.7956903579532816,0.9999985706174168,-3.5044447363298396e-06,0.8548712714518069,3923275.820963615,1980.7297648743843,1.1546310727136003e-09,-1.5156236064018408e-12,416875474.5226902,210465.62522111868,5.480671292309157e-06,0.9999985706174168,3.8487702423786675e-10,-5.999995548484165
0.005308844442309879,187.36490894898023,1455.4545439254089,0.9465072875174029,0.05348662770982855,6.0847727688301694e-06,1.0000000000000002,-1.5267360446641434,0.5267360446641434,-0.7964351940447807,0.9999976597027812,-5.716839169726722e-06,0.8548716608100058,2118335.0397673245,1455.4545439254089,2.572718993992324e-09,-4.595862791348878e-12,306323097.61969507,210465.62154125652,8.998373573502503e-06,0.9999976597027812,8.575729979974413e-10,-5.9999926866404305
0.006493816315762113,152.9926526059492,1070.581384409304,0.9558326905108419,0.044157363437773746,9.946051384573162e-06,1.0000000000000002,-1.5220667903527116,0.5220667903527116,-0.797057761286305,0.9999961745956213,-9.316069180870551e-06,0.8548722956002105,1146133.1010316447,1070.581384409304,5.717124447543291e-09,-1.3884533938371926e-11,225320529.6670267,210465.6171302879,1.4707123162140271e-05,0.9999961745956213,1.905708149181097e-09,-5.999988047167983
0.007943282347242805,124.89254117941688,788.1597285149342,0.9635910856063633,0.03639267912744543,1.6235266191430104e-05,1.0000000000000002,-1.5181769162657082,0.5181769162657082,-0.797576411164572,0.9999937556668494,-1.5168098629281567e-05,0.8548733295436375,621185.6723742523,788.1597285149342,1.2676279540068828e-08,-4.181681152289407e-11,165880482.25400537,210465.61184306126,2.4002101494764797e-05,0.9999937556668494,4.225426513356276e-09,-5.9999804938183425
0.009716279515771057,101.92005271944286,580.6569028621598,0.970023080979406,0.029950447990043063,2.6471030551067157e-05,1.0000000000000002,-1.51494353787253,0.51494353787253,-0.7980075282836625,0.9999898188344034,-2.4678476901300307e-05,0.8548750123056443,337153.51380425645,580.6569028621598,2.8054200120944498e-08,-1.2561793366894555e-10,122208273.69787565,210465.6055055456,3.909535500639316e-05,0.9999898188344034,9.351400040314833e-09,-5.999968235084234
0.011885022274370166,83.13951416451964,428.03881636317465,0.9753375526064081,0.024619328346814445,4.31190467773644e-05,0.9999999999999999,-1.5122580270281625,0.5122580270281625,-0.7983655963962448,0.9999834157512395,-4.012812679137369e-05,0.8548777492645527,183209.32816134946,428.03881636317465,6.199156946160196e-08,-3.765501501594416e-10,90087416.24438892,210465.59790910652,6.374384754144306e-05,0.9999834157512395,2.0663856487200655e-08,-5.999948196811598
0.014537843856076607,67.78599123088081,315.6903204305812,0.9797126661935903,0.020217152059672554,7.018174673715186e-05,1.0,-1.5100244986411167,0.5100244986411167,-0.7986634001811842,0.9999730070204857,-6.5217856996909e-05,0.8548821984692322,99653.3840741255,315.6903204305812,1.368073850473337e-07,-1.1267345817141799e-09,66441923.34378392,210465.5888036564,0.00010366886544550683,0.9999730070204857,4.5602461682444564e-08,-5.999915766079787
0.01778279410038923,55.2341325190349,232.92611641046244,0.9832973828824653,0.01658846260038983,0.00011415451714513087,1.0000000000000002,-1.5081574321211662,0.5081574321211662,-0.7989123423838443,0.9999560944164826,-0.00010595110319432215,0.8548894278981235,54248.38230116767,232.92611641046244,3.0159320350312345e-07,-3.3664852241617816e-09,49022906.82792043,210465.57788946579,0.00016868083202536412,0.9999560944164826,1.0053106783437448e-07,-5.999862931188031
0.0217520403401952,44.97269885308728,171.91957051441773,0.9862127653114224,0.01360165873941974,0.00018557594915756344,0.9999999999999998,-1.5065783823886312,0.5065783823886312,-0.7991228823481823,0.9999286246349394,-0.0001720644124168882,0.8549011704685269,29550.853780249166,171.91957051441773,6.642675045967781e-07,-1.0045950592630977e-08,36183129.257654384,210465.56480739245,0.0002741610701226726,0.9999286246349394,2.2142250153225938e-07,-5.99977722919306
