a,z,k_over_H0,xi_completion,mu_zeta,mu_zeta_relative,constraint_determinant,Q_tensor,matter_kinetic_positive,matter_kinetic_negative,matter_kinetic_null,root_at_this_a,root_k_over_H0
1.399050314137293e-07,7147704.7679418605,0.001,1.0,8.666626756085512e+24,1.5000892682827947,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.001333521432163324,1.0,8.666626756085515e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0017782794100389228,1.0,8.666626756085517e+24,1.5000892682827949,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0023713737056616554,1.0,8.666626756085517e+24,1.5000892682827953,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0031622776601683794,1.0,8.666626756085521e+24,1.5000892682827955,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.004216965034285823,1.0,8.666626756085529e+24,1.5000892682827969,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.005623413251903491,1.0,8.666626756085537e+24,1.5000892682827993,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.007498942093324558,1.0,8.66662675608556e+24,1.5000892682828026,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.01,1.0,8.666626756085595e+24,1.5000892682828086,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.01333521432163324,1.0,8.66662675608566e+24,1.5000892682828195,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.01778279410038923,1.0,8.666626756085771e+24,1.5000892682828393,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.023713737056616554,1.0,8.666626756085974e+24,1.5000892682828741,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.03162277660168379,1.0,8.666626756086328e+24,1.5000892682829359,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.042169650342858224,1.0,8.666626756086968e+24,1.5000892682830458,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.05623413251903491,1.0,8.666626756088098e+24,1.5000892682832416,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.07498942093324558,1.0,8.666626756090109e+24,1.50008926828359,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.1,1.0,8.666626756093688e+24,1.5000892682842089,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.1333521432163324,1.0,8.666626756100044e+24,1.5000892682853102,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.1778279410038923,1.0,8.66662675611136e+24,1.5000892682872682,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.23713737056616552,1.0,8.666626756131481e+24,1.5000892682907496,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.31622776601683794,1.0,8.666626756167252e+24,1.500089268296942,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.4216965034285822,1.0,8.666626756230876e+24,1.5000892683079516,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.5623413251903491,1.0,8.666626756344001e+24,1.5000892683275318,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.7498942093324559,1.0,8.666626756545179e+24,1.5000892683623495,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,1.0,1.0,8.666626756902925e+24,1.5000892684242657,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,1.333521432163324,1.0,8.666626757539098e+24,1.50008926853437,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,1.7782794100389228,1.0,8.666626758670391e+24,1.5000892687301663,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,2.371373705661655,1.0,8.666626760682149e+24,1.5000892690783467,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,3.1622776601683795,1.0,8.666626764259621e+24,1.5000892696975088,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,4.216965034285822,1.0,8.666626770621364e+24,1.500089270798551,-1.9261462198153952e+24,2.0,4,0,0,0,
