a,z,E,dE_dln_a,d2E_dln_a2,Hdot_over_H0_sq,Hddot_over_H0_cu,background_denominator,Q,Q_X,Q_XX,V,V_X,V_XX,Omega,c_hat,Lambda_hat,M2_4_hat,M1_3_hat,M2_bar_hat,M3_bar_hat,Mhat2_hat,m2_sq_hat,m5_bar_hat,deltaR_deltaK_coefficient_hat,F_hat,Fdot_hat
1.0292005271944266e-05,97161.79515771077,91084802.3757079,-180659019.15731588,359782400.5847881,-1.6455291057333344e+16,5.957710282183184e+24,182169604.7514111,0.9999999999999505,8.702207612516064e-22,-2.484030178735503e-29,19170221524017.945,210465.643312152,1.9023332654841778e-13,-4.951594689828198e-14,-272.62356348086337,1394.8597933961673,136.31178174043168,1.4319735910529373e-05,1.5852777212368113e-14,0.0,0.0,0.0,-2.900735870838688e-22,-1.450367935419344e-22,182099449.53697658,-3.291058211466584e+16
1.2589254117941661e-05,79431.82347242822,61100905.92675841,-120971419.53927408,240687670.28643236,-7391463325095610.0,1.792720073844838e+24,122201811.85351086,0.9999999999999062,2.457338271995148e-21,-1.0456603564677038e-28,12859641468989.598,210465.64330433475,3.6034942700975707e-13,-9.381384558082573e-14,-234.08006501382897,1179.6000813215248,117.04003250691449,1.8163325714805955e-05,3.0029118917479697e-14,0.0,0.0,0.0,-8.19112757331716e-22,-4.09556378665858e-22,122131656.63907976,-1.47829266501905e+16
1.539926526059492e-05,64937.16315762114,41019557.019350395,-81037730.85711661,161049632.43068033,-3324131821612265.5,5.403628649709277e+23,82039114.03869322,0.9999999999998225,6.924881110649594e-21,-4.389294325922506e-28,8633207452862.145,210465.6432944234,6.817333333692334e-13,-1.7752466163756253e-13,-201.3120724313519,996.2320206977834,100.65603621567595,2.3019217660792003e-05,5.681111111410267e-14,0.0,0.0,0.0,-2.3082937035498648e-21,-1.1541468517749324e-21,81968958.8242664,-6648263643223917.0
1.883649089489802e-05,53087.444423098794,27564152.09897352,-54314075.09480274,107789869.22998944,-1497121427028212.2,1.632116198769065e+23,55128304.19793743,0.9999999999996646,1.9466719687358094e-20,-1.836206352562387e-27,5801307000583.614,210465.64328186878,1.2878006935930124e-12,-3.353983757392598e-13,-173.4508244009628,840.0286490586576,86.7254122004814,2.9144043157895746e-05,1.0731672446608401e-13,0.0,0.0,0.0,-6.488906562452698e-21,-3.244453281226349e-21,55058148.983516045,-2994242854055902.0
2.3040929760558447e-05,43400.026364474405,18543401.56090822,-36425498.046273276,72166107.18857332,-675452637328123.2,4.94185733483817e+22,37086803.121804245,0.9999999999993676,5.456276685210861e-20,-7.650332834001044e-27,3902748935768.536,210465.64326598315,2.4282703104308714e-12,-6.323830348264892e-13,-149.7546028524934,706.9936965134103,74.8773014262467,3.685456477017626e-05,2.0235585920257226e-13,0.0,0.0,0.0,-1.818758895070287e-20,-9.093794475351435e-21,37016647.90738975,-1350905274655802.2
2.818382931264449e-05,35480.3389233576,12491633.003195092,-24446886.665008064,48334362.34849035,-305381536289984.75,1.5007764971561584e+22,24983266.006374728,0.9999999999988102,1.5239786067707775e-19,-3.1719987103291763e-26,2629059573426.955,210465.64324590922,4.568875550520275e-12,-1.1898260154907803e-12,-129.58963081323577,593.718767240393,64.79481540661789,4.6539492820873055e-05,3.807396292100218e-13,0.0,0.0,0.0,-5.079928689235925e-20,-2.5399643446179625e-20,24913110.791968934,-610763072579591.6
3.447466065731491e-05,29005.811986931563,8428343.716241702,-16422328.236183386,32387912.343002334,-138413026995494.92,4.5738035715531394e+21,16856687.432463832,0.999999999997767,4.238957026068765e-19,-1.3076458007449786e-25,1773876780000.1733,210465.64322058109,8.574572835380469e-12,-2.2329915694285773e-12,-112.41393097734496,497.32333492638065,56.20696548867248,5.8672687328199886e-05,7.145477362817069e-13,0.0,0.0,0.0,-1.412985675356255e-19,-7.064928376781275e-20,16786532.218069017,-276826053990668.4
4.216965034285822e-05,23712.737056616555,5697461.122145373,-11043839.17308932,21714961.196398504,-62921844327902.51,1.3997894578463e+21,11394922.24426599,0.9999999999958219,1.1733221525418249e-18,-5.35438071661651e-25,1199119818312.824,210465.64318868075,1.604389763486154e-11,-4.178102308571852e-12,-97.76377174265338,415.35951849542505,48.88188587132669,7.382759382871618e-05,1.3369914695717936e-12,0.0,0.0,0.0,-3.9110738418060827e-19,-1.9555369209030413e-19,11324767.029884998,-125843688655531.61
5.158221650723061e-05,19385.526359522057,3859882.4367389986,-7436614.4718350805,14569307.404518645,-28704457588635.293,4.3052761458152047e+20,7719764.873446725,0.9999999999922098,3.2292095813319627e-18,-2.1751815111126473e-24,812372638411.9863,210465.6431485856,2.991448643407812e-11,-7.790212919189798e-12,-85.2423899590552,345.75555504842197,42.6211949795276,9.269270947215805e-05,2.492873869506506e-12,0.0,0.0,0.0,-1.076403193777321e-18,-5.382015968886605e-19,7649609.659083108,-57408915177038.03
6.309573444801929e-05,15847.931924611143,2621628.8090118235,-5015475.273629347,9783377.149569072,-13148714468233.154,1.3318759308144583e+20,5243257.617984205,0.9999999999855338,8.82884131352212e-18,-8.756002122134897e-24,551762792299.2433,210465.64309830888,5.555026737053615e-11,-1.446620601086579e-11,-74.51071913185183,286.7550433381953,37.255359565925914,0.00011608791351684292,4.6291889475446765e-12,0.0,0.0,0.0,-2.9429471045073734e-18,-1.4714735522536867e-18,5173102.403642375,-26297428936268.49
7.717915155850112e-05,12955.866975170216,1785806.7780601545,-3388905.8805359337,6576411.0811160905,-6051931091668.986,4.148229590651416e+19,3571613.5560706495,0.9999999999732617,2.3956271095840887e-17,-3.487852415749325e-23,375850971062.8602,210465.64303543247,1.026750511199983e-10,-2.6738278258164883e-11,-65.27986322817337,236.8662315828763,32.639931614086684,0.00014498170188537052,8.55625425999984e-12,0.0,0.0,0.0,-7.98542369861363e-18,-3.992711849306815e-18,3501458.3417560654,-12103862183169.682
9.440608762859227e-05,10591.537251772897,1220484.9605940483,-2294900.661688192,4426250.301657975,-2800891743647.768,1.3021037904818235e+19,2440969.921125697,0.9999999999508394,6.444726766364364e-17,-1.3729206121795658e-22,256870151247.8153,210465.6429570299,1.887766102436552e-10,-4.916056450809947e-11,-57.30503722897042,194.82031934153144,28.65251861448521,0.00018050981989975725,1.5731384186971215e-11,0.0,0.0,0.0,-2.148242255454788e-17,-1.074121127727394e-17,2370814.706845087,-5601783487152.335
0.00011547819846894582,8658.643233600653,837210.6558733743,-1558073.957207448,2983631.7423756993,-1304436119612.8713,4.123700127062857e+18,1674421.3116685136,0.9999999999101469,1.7171905515060304e-16,-5.3328220354029405e-22,176204078292.67313,210465.6428595811,3.450360546926223e-10,-8.985312494047548e-11,-50.38065154302595,159.53148610448432,25.190325771512974,0.00022399653796424128,2.875300455771847e-11,0.0,0.0,0.0,-5.723968505020101e-17,-2.861984252510051e-17,1604266.0974301312,-2608872239103.8467
0.0001412537544622754,7078.45784384138,576640.0920392156,-1060983.4302626585,2014897.1307089864,-611805582878.7421,1.3190966789483075e+18,1153280.1839805816,0.9999999998368372,4.527268625395603e-16,-2.0412903279760267e-21,121362927079.2003,210465.64273887494,6.265451032402504e-10,-1.631628165910115e-10,-44.336166321795545,130.0638055699005,22.168083160897773,0.0002769808220208798,5.221209193668743e-11,0.0,0.0,0.0,-1.5090895417985345e-16,-7.545447708992672e-17,1083124.969794505,-1223611165653.6672
0.00017278259805078626,5786.619883491209,398925.1058625835,-724954.8503875496,1363694.211998046,-289202690436.4466,4.266788811745099e+17,797850.2116031087,0.9999999997058,1.1799708372889422e-15,-7.690476562806373e-21,83960028301.14577,210465.64258989756,1.1297279788326075e-09,-2.9419999769686456e-10,-39.03231500441095,105.60294803804942,19.516157502205473,0.00034125074078050863,9.41439982360504e-11,0.0,0.0,0.0,-3.933236124296474e-16,-1.966618062148237e-16,727694.997481589,-578405380784.4064
0.00021134890398366455,4730.512589614807,277280.47693088744,-497258.66476348764,925373.0529387045,-137880119723.63614,1.397088943765197e+17,554560.9537099473,0.9999999994735005,3.0380762741105023e-15,-2.848739442501804e-20,58358013315.49119,210465.64240670102,2.0217581717706593e-09,-5.264995106557535e-10,-34.35733107410946,85.43342281111623,17.17866553705473,0.00041889032040389444,1.6847984764755446e-10,0.0,0.0,0.0,-1.0126920913701675e-15,-5.063460456850837e-16,484405.73966781265,-275760239371.7747
