a,z,k_over_H0,constraint_discriminant,constraint_block_determinant,constraint_relative_error,kinetic_positive,kinetic_negative,kinetic_null,normalized_null_residual,m5_bar_hat
3.831186849557285e-07,2610156.2156825387,0.5623413251903491,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,8.886869058233744e-17,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,1.0,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,9.585267070805853e-17,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,1.7782794100389228,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,1.5464910561817147e-16,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,3.1622776601683795,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,7.143980017679955e-17,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,5.623413251903491,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,1.570188896583316e-17,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,10.0,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,2.0276735381527415e-16,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,17.78279410038923,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,1.0108709820466817e-16,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,31.622776601683793,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,8.80226915131705e-17,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,56.23413251903491,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,1.9504912265610556e-16,-1.0638721904064615e-29
3.831186849557285e-07,2610156.2156825387,100.0,7.955822268180508e+47,-1.7140299482296165e+22,9.788169697576637e-16,4,0,1,2.458655370889695e-16,-1.0638721904064615e-29
7.498942093324558e-07,1333520.432163324,0.01,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.259432305371734e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.01778279410038923,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,5.2850968253338785e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.03162277660168379,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.686765127857296e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.05623413251903491,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,2.2021900584259248e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.1,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,5.927362448529796e-18,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.1778279410038923,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,3.9829571018500055e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.31622776601683794,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,6.712052441464905e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,0.5623413251903491,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,9.73944533458721e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,1.0,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,3.5875898282897223e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,1.7782794100389228,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.3686577000749732e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,3.1622776601683795,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.492286644014281e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,5.623413251903491,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,8.297153597482756e-18,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,10.0,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.1955141790263804e-17,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,17.78279410038923,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.3219677611438603e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,31.622776601683793,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.016408182723792e-16,-3.4902196511455666e-28
7.498942093324558e-07,1333520.432163324,56.23413251903491,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,3.373184067985475e-17,-3.4902196511455666e-28
