#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.133211E-02   0.194854E+08   0.194832E+08   0.326709E+06   0.326903E+06   0.000000E+00   0.194850E+08   0.194850E+08   0.194851E+08  -0.484929E+00   0.102534E+08   0.102529E+08   0.133868E+03
   0.147084E-02   0.194519E+08   0.194496E+08   0.213910E+06   0.205407E+06   0.000000E+00   0.194515E+08   0.194515E+08   0.194516E+08  -0.483311E+00   0.102261E+08   0.102255E+08   0.120018E+03
   0.162402E-02   0.194064E+08   0.194041E+08   0.211763E+06   0.199075E+06   0.000000E+00   0.194060E+08   0.194060E+08   0.194061E+08  -0.481486E+00   0.101939E+08   0.101934E+08   0.106755E+03
   0.179315E-02   0.193487E+08   0.193464E+08   0.184949E+06   0.173215E+06   0.000000E+00   0.193483E+08   0.193483E+08   0.193484E+08  -0.479430E+00   0.101566E+08   0.101561E+08   0.947629E+02
   0.197989E-02   0.192784E+08   0.192761E+08   0.925929E+05   0.874707E+05   0.000000E+00   0.192780E+08   0.192780E+08   0.192781E+08  -0.477134E+00   0.101138E+08   0.101133E+08   0.844704E+02
   0.218609E-02   0.191949E+08   0.191925E+08   0.544950E+05   0.555762E+05   0.000000E+00   0.191945E+08   0.191945E+08   0.191945E+08  -0.474592E+00   0.100650E+08   0.100645E+08   0.759063E+02
   0.241375E-02   0.190974E+08   0.190949E+08   0.631607E+05   0.616426E+05   0.000000E+00   0.190970E+08   0.190970E+08   0.190970E+08  -0.471781E+00   0.100098E+08   0.100093E+08   0.687909E+02
   0.266512E-02   0.189852E+08   0.189825E+08   0.284916E+05   0.231024E+05   0.000000E+00   0.189847E+08   0.189847E+08   0.189847E+08  -0.468666E+00   0.994759E+07   0.994709E+07   0.626422E+02
   0.294268E-02   0.188571E+08   0.188543E+08   0.284280E+05   0.225316E+05   0.000000E+00   0.188567E+08   0.188567E+08   0.188567E+08  -0.465222E+00   0.987771E+07   0.987721E+07   0.569175E+02
   0.324914E-02   0.187123E+08   0.187092E+08   0.149607E+05   0.110990E+05   0.000000E+00   0.187118E+08   0.187118E+08   0.187118E+08  -0.461411E+00   0.979953E+07   0.979903E+07   0.513685E+02
   0.358751E-02   0.185494E+08   0.185461E+08   0.739616E+04   0.791715E+04   0.000000E+00   0.185488E+08   0.185488E+08   0.185489E+08  -0.457199E+00   0.971234E+07   0.971185E+07   0.461203E+02
   0.396112E-02   0.183672E+08   0.183637E+08   0.280755E+03   0.518130E+03   0.000000E+00   0.183667E+08   0.183667E+08   0.183667E+08  -0.452548E+00   0.961544E+07   0.961494E+07   0.414768E+02
   0.437364E-02   0.181646E+08   0.181606E+08   0.267092E+04   0.469215E+04   0.000000E+00   0.181639E+08   0.181639E+08   0.181639E+08  -0.447421E+00   0.950806E+07   0.950757E+07   0.375107E+02
   0.482913E-02   0.179400E+08   0.179357E+08  -0.581006E+03   0.185922E+05   0.000000E+00   0.179393E+08   0.179393E+08   0.179393E+08  -0.441780E+00   0.938948E+07   0.938898E+07   0.339504E+02
   0.533204E-02   0.176922E+08   0.176874E+08  -0.794955E+03   0.186852E+05   0.000000E+00   0.176915E+08   0.176915E+08   0.176915E+08  -0.435588E+00   0.925893E+07   0.925844E+07   0.305984E+02
   0.588734E-02   0.174199E+08   0.174144E+08   0.655714E+01   0.175386E+05   0.000000E+00   0.174190E+08   0.174190E+08   0.174190E+08  -0.428809E+00   0.911567E+07   0.911519E+07   0.275971E+02
   0.650046E-02   0.171215E+08   0.171153E+08  -0.118336E+04   0.154596E+05   0.000000E+00   0.171205E+08   0.171205E+08   0.171205E+08  -0.421404E+00   0.895896E+07   0.895847E+07   0.249899E+02
   0.717743E-02   0.167959E+08   0.167887E+08  -0.770633E+03   0.127352E+05   0.000000E+00   0.167947E+08   0.167947E+08   0.167947E+08  -0.413337E+00   0.878804E+07   0.878755E+07   0.226020E+02
   0.792491E-02   0.164415E+08   0.164333E+08  -0.121400E+04   0.100829E+05   0.000000E+00   0.164402E+08   0.164402E+08   0.164402E+08  -0.404574E+00   0.860218E+07   0.860169E+07   0.204796E+02
   0.875023E-02   0.160571E+08   0.160476E+08  -0.184948E+04   0.845306E+04   0.000000E+00   0.160556E+08   0.160556E+08   0.160556E+08  -0.395079E+00   0.840065E+07   0.840016E+07   0.185955E+02
   0.966150E-02   0.156413E+08   0.156303E+08  -0.677000E+03   0.709943E+04   0.000000E+00   0.156395E+08   0.156395E+08   0.156395E+08  -0.384817E+00   0.818274E+07   0.818225E+07   0.169057E+02
   0.106677E-01   0.151927E+08   0.151800E+08  -0.125738E+04   0.531617E+04   0.000000E+00   0.151907E+08   0.151907E+08   0.151907E+08  -0.373754E+00   0.794775E+07   0.794725E+07   0.154252E+02
   0.117786E-01   0.147103E+08   0.146955E+08  -0.900367E+03   0.422969E+04   0.000000E+00   0.147079E+08   0.147079E+08   0.147079E+08  -0.361860E+00   0.769500E+07   0.769450E+07   0.140968E+02
