a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.3899526312133519e-08,71944896.80037002,-18.091411075654218,1.3899526312133519e-08,49334031218658.14,-98666901874852.14,1.355203815433018e-09,4.704916405420544e-05,0.9999529508359457,2.8449170961458425e-28,-1.0000000133395688,9.483056987152809e-29,2.8448947117507124e-28,2.8448947117507124e-28,1.4224473558753562e-28,2.8448947117507124e-28,1.4224473558753562e-28,1.0,-1.8966115112804653e-28,1.948134913414658e-55,3.8963247912914343e-56,1.6733235792973038,1.0,1.0
1.4017374183467671e-08,71340036.50712577,-18.082968263646574,1.4017374183467671e-08,48507998737076.89,-97014846669083.0,1.366693982888098e-09,4.744805396057873e-05,0.9999525519460397,2.942633051875616e-28,-1.0000000134449767,9.808776839585387e-29,2.9426097023797116e-28,2.9426097023797116e-28,1.471304851189856e-28,2.9426097023797116e-28,1.4713048511898558e-28,1.0,-1.9617554866079748e-28,2.0842603397621336e-55,4.168579983198786e-56,1.6733235914642595,1.0,1.0
1.4136221234231837e-08,70740261.43862334,-18.07452545163893,1.4136221234231837e-08,47695797147128.64,-95390453164546.75,1.3782815703376041e-09,4.785032555388797e-05,0.9999521496744459,3.043705301802929e-28,-1.000000013551213,1.0145684339343097e-28,3.0436809455962e-28,3.0436809455962e-28,1.5218404727980997e-28,3.0436809455962e-28,1.5218404727981e-28,1.0,-2.0291369916063153e-28,2.2298974779491525e-55,4.459858941347089e-56,1.6733236037339803,1.0,1.0
1.4256075936021876e-08,70145528.84199715,-18.066082639631283,1.4256075936021876e-08,46897194866971.19,-93793258198248.72,1.389967403762133e-09,4.825600750045748e-05,0.9999517439924992,3.1482491256415716e-28,-1.0000000136582845,1.0494163752138571e-28,3.14822371931997e-28,3.14822371931997e-28,1.5741118596599847e-28,3.14822371931997e-28,1.574111859659985e-28,1.0,-2.0988328794267613e-28,2.3857109538155107e-55,4.771490944459636e-56,1.6733236161073335,1.0,1.0
1.4376946832260378e-08,69555796.3238173,-18.05763982762364,1.4376946832260378e-08,46111964192331.75,-92222806362327.25,1.401752316145387e-09,4.866512870956648e-05,0.9999513348712903,3.2563837626353955e-28,-1.0000000137661973,1.0854612542117986e-28,3.256357260923529e-28,3.256357260923529e-28,1.6281786304617645e-28,3.256357260923529e-28,1.6281786304617645e-28,1.0,-2.170922642907658e-28,2.552411833472168e-55,5.104898153937031e-56,1.673323628585196,1.0,1.0
1.4498842538805943e-08,68971021.8470662,-18.049197015615995,1.4498842538805943e-08,45339881231579.53,-90678649874198.81,1.4136371475335795e-09,4.907771833550848e-05,0.9999509222816642,3.3682325475563473e-28,-1.0000000138749583,1.1227441825187823e-28,3.368204903226798e-28,3.368204903226798e-28,1.6841024516133993e-28,3.368204903226798e-28,1.684102451613399e-28,1.0,-2.2454885052398186e-28,2.7307608682749896e-55,5.461602103973198e-56,1.6733236411684485,1.0,1.0
1.4621771744567133e-08,68391163.72814316,-18.04075420360835,1.4621771744567133e-08,44580725841888.72,-89160348448884.3,1.4256227450952956e-09,4.949380577966654e-05,0.9999505061942207,3.4839230513731517e-28,-1.000000013984574,1.1613076837910506e-28,3.4838942151623177e-28,3.4838942151623177e-28,1.7419471075811588e-28,3.4838942151623177e-28,1.7419471075811588e-28,1.0,-2.3226155137456365e-28,2.921571966536852e-55,5.843230645161453e-56,1.6733236538579814,1.0,1.0
1.4745743212121939e-08,67816180.63389258,-18.032311391600704,1.4745743212121939e-08,43834281566468.47,-87667469173468.62,1.4377099631818892e-09,4.991342069260658e-05,0.9999500865793072,3.603587226751745e-28,-1.0000000140950507,1.2011957422505816e-28,3.603557147272046e-28,3.603557147272046e-28,1.801778573636023e-28,3.603557147272046e-28,1.801778573636023e-28,1.0,-2.4023916368793962e-28,3.1257159078222e-55,6.25152537327984e-56,1.673323666654693,1.0,1.0
1.4870765778342174e-08,67246031.57865866,-18.02386857959306,1.4870765778342174e-08,43100335572845.67,-86199586383666.89,1.449899663388362e-09,5.0336592976188084e-05,0.9999496634070235,3.7273615585528904e-28,-1.0000000142063958,1.2424538528509634e-28,3.727330182201201e-28,3.727330182201201e-28,1.8636650911006006e-28,3.727330182201201e-28,1.8636650911006006e-28,1.0,-2.4849078645590483e-28,3.344124316773371e-55,6.688349577155444e-56,1.6733236795594881,1.0,1.0
1.4996848355023695e-08,66680675.921362385,-18.015425767585416,1.4996848355023695e-08,42378678592178.125,-84756281542450.25,1.4621927146148104e-09,5.076335278569383e-05,0.9999492366472141,3.855387219499366e-28,-1.0000000143186156,1.2851290731664554e-28,3.855354490361492e-28,3.855354490361492e-28,1.927677245180746e-28,3.855354490361492e-28,1.927677245180746e-28,1.0,-2.570258311944332e-28,3.5777939146043496e-55,7.15569674188034e-56,1.6733236925732795,1.0,1.0
