alpha,Omega_m0,min_sound_numerator,a_at_min_sound_numerator,min_D,min_Qs_over_Mpl2,a_at_min_Qs,min_cs2
0.45399999999999996,0.32999999999999996,7.374367205337537e-29,9.999999999999982e-09,7.374367205337537e-29,3.6871836026687687e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.33999999999999997,7.264277769132066e-29,9.999999999999982e-09,7.264277769132066e-29,3.632138884566033e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.35,7.154188615694533e-29,9.999999999999982e-09,7.154188615694533e-29,3.5770943078472664e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.36,7.044099745023863e-29,9.999999999999982e-09,7.044099745023863e-29,3.5220498725119315e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.37,6.934011157119002e-29,9.999999999999982e-09,6.934011157119002e-29,3.467005578559501e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.38,6.823922851978873e-29,9.999999999999982e-09,6.823922851978873e-29,3.4119614259894365e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.24,8.365184918481888e-29,9.999999999999982e-09,8.365184918481888e-29,4.182592459240944e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.25,8.255092936493564e-29,9.999999999999982e-09,8.255092936493564e-29,4.127546468246782e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.26,8.145001237282788e-29,9.999999999999982e-09,8.145001237282788e-29,4.072500618641394e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.27,8.034909820848484e-29,9.999999999999982e-09,8.034909820848484e-29,4.017454910424242e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.27999999999999997,7.924818687189596e-29,9.999999999999982e-09,7.924818687189596e-29,3.962409343594798e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.29,7.814727836305058e-29,9.999999999999982e-09,7.814727836305058e-29,3.907363918152529e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.3,7.704637268193795e-29,9.999999999999982e-09,7.704637268193795e-29,3.8523186340968976e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.31,7.594546982854739e-29,9.999999999999982e-09,7.594546982854739e-29,3.7972734914273695e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.32,7.48445698028683e-29,9.999999999999982e-09,7.48445698028683e-29,3.742228490143415e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.32999999999999996,7.374367260488986e-29,9.999999999999982e-09,7.374367260488986e-29,3.687183630244493e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.33999999999999997,7.264277823460158e-29,9.999999999999982e-09,7.264277823460158e-29,3.632138911730079e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.35,7.154188669199274e-29,9.999999999999982e-09,7.154188669199274e-29,3.577094334599637e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.36,7.044099797705253e-29,9.999999999999982e-09,7.044099797705253e-29,3.5220498988526264e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.37,6.934011208977046e-29,9.999999999999982e-09,6.934011208977046e-29,3.467005604488523e-29,9.999999999999982e-09,1.0
0.5159999999999999,0.38,6.823922903013572e-29,9.999999999999982e-09,6.823922903013572e-29,3.411961451506786e-29,9.999999999999982e-09,1.0
0.578,0.24,8.36518498104365e-29,9.999999999999982e-09,8.36518498104365e-29,4.182592490521825e-29,9.999999999999982e-09,1.0
0.578,0.25,8.255092998231944e-29,9.999999999999982e-09,8.255092998231944e-29,4.127546499115972e-29,9.999999999999982e-09,1.0
0.578,0.26,8.145001298197792e-29,9.999999999999982e-09,8.145001298197792e-29,4.072500649098896e-29,9.999999999999982e-09,1.0
0.578,0.27,8.034909880940116e-29,9.999999999999982e-09,8.034909880940116e-29,4.017454940470058e-29,9.999999999999982e-09,1.0
0.578,0.27999999999999997,7.924818746457858e-29,9.999999999999982e-09,7.924818746457858e-29,3.962409373228929e-29,9.999999999999982e-09,1.0
0.578,0.29,7.814727894749949e-29,9.999999999999982e-09,7.814727894749949e-29,3.9073639473749745e-29,9.999999999999982e-09,1.0
0.578,0.3,7.704637325815319e-29,9.999999999999982e-09,7.704637325815319e-29,3.8523186629076596e-29,9.999999999999982e-09,1.0
0.578,0.31,7.594547039652904e-29,9.999999999999982e-09,7.594547039652904e-29,3.797273519826452e-29,9.999999999999982e-09,1.0
0.578,0.32,7.484457036261633e-29,9.999999999999982e-09,7.484457036261633e-29,3.7422285181308165e-29,9.999999999999982e-09,1.0
0.578,0.32999999999999996,7.374367315640433e-29,9.999999999999982e-09,7.374367315640433e-29,3.6871836578202166e-29,9.999999999999982e-09,1.0
0.578,0.33999999999999997,7.26427787778825e-29,9.999999999999982e-09,7.26427787778825e-29,3.632138938894125e-29,9.999999999999982e-09,1.0
0.578,0.35,7.154188722704013e-29,9.999999999999982e-09,7.154188722704013e-29,3.5770943613520065e-29,9.999999999999982e-09,1.0
0.578,0.36,7.044099850386643e-29,9.999999999999982e-09,7.044099850386643e-29,3.5220499251933213e-29,9.999999999999982e-09,1.0
0.578,0.37,6.934011260835092e-29,9.999999999999982e-09,6.934011260835092e-29,3.467005630417546e-29,9.999999999999982e-09,1.0
0.578,0.38,6.823922954048272e-29,9.999999999999982e-09,6.823922954048272e-29,3.411961477024136e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.24,8.365185043605402e-29,9.999999999999982e-09,8.365185043605402e-29,4.182592521802701e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.25,8.255093059970323e-29,9.999999999999982e-09,8.255093059970323e-29,4.1275465299851615e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.26,8.145001359112797e-29,9.999999999999982e-09,8.145001359112797e-29,4.0725006795563983e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.27,8.034909941031745e-29,9.999999999999982e-09,8.034909941031745e-29,4.0174549705158723e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.27999999999999997,7.924818805726117e-29,9.999999999999982e-09,7.924818805726117e-29,3.9624094028630587e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.29,7.814727953194841e-29,9.999999999999982e-09,7.814727953194841e-29,3.9073639765974206e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.3,7.704637383436847e-29,9.999999999999982e-09,7.704637383436847e-29,3.8523186917184233e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.31,7.594547096451068e-29,9.999999999999982e-09,7.594547096451068e-29,3.797273548225534e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.32,7.484457092236436e-29,9.999999999999982e-09,7.484457092236436e-29,3.742228546118218e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.32999999999999996,7.374367370791879e-29,9.999999999999982e-09,7.374367370791879e-29,3.6871836853959397e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.33999999999999997,7.264277932116343e-29,9.999999999999982e-09,7.264277932116343e-29,3.6321389660581715e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.35,7.154188776208752e-29,9.999999999999982e-09,7.154188776208752e-29,3.577094388104376e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.36,7.044099903068031e-29,9.999999999999982e-09,7.044099903068031e-29,3.5220499515340156e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.37,6.934011312693133e-29,9.999999999999982e-09,6.934011312693133e-29,3.4670056563465663e-29,9.999999999999982e-09,1.0
0.6399999999999999,0.38,6.82392300508297e-29,9.999999999999982e-09,6.82392300508297e-29,3.411961502541485e-29,9.999999999999982e-09,1.0
