a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.1739961337183567e-08,85179155.1555433,-18.260267315807116,1.1739961337183567e-08,69153081445912.58,-138304812193217.12,5.839713580769357e-09,3.906401796702368e-05,0.999960935982033,1.458833467701147e-28,-1.000000058138949,-4.518535047109375e-05,4.518038447933066e-05,4.518344705317645e-05,2.2590702746236297e-05,4.518344705317645e-05,2.25907027462363e-05,1.0,9.037274265773337e-05,-9.448997241908701e-33,-9.448754849847368e-33,1.6206579394245295e+23,1.0,1.0
1.1839499222293018e-08,84463030.85839686,-18.25182450379947,1.1839499222293018e-08,67995203129101.36,-135989066915506.5,5.889225902214035e-09,3.939521126811584e-05,0.999960604788732,1.5089409391154744e-28,-1.000000058598736,-4.518535047109375e-05,4.5180376996427475e-05,4.5183439570273265e-05,2.2590699004953755e-05,4.5183439570273265e-05,2.2590699004953758e-05,1.0,9.037274265791364e-05,-9.773546265248734e-33,-9.773297165981344e-33,1.566840765228814e+23,1.0,1.0
1.1939881044642719e-08,83752927.21268834,-18.243381691791825,1.1939881044642719e-08,66856712071105.14,-133712096059953.6,5.93915801650314e-09,3.972921238699946e-05,0.999960270787613,1.560769479027393e-28,-1.0000000590621403,-4.518535047109375e-05,4.518036945001953e-05,4.518343202386532e-05,2.2590695231920274e-05,4.518343202386532e-05,2.2590695231920274e-05,1.0,9.037274265812819e-05,-1.0109242679533167e-32,-1.0108986712455987e-32,1.514810702434679e+23,1.0,1.0
1.2041113959599386e-08,83048793.60116583,-18.23493887978418,1.2041113959599386e-08,65737283655154.34,-131473250393821.95,5.989513482872601e-09,4.006604512612348e-05,0.9999599339548736,1.6143782017218808e-28,-1.0000000595291902,-4.518535047109375e-05,4.518036184010683e-05,4.518342441395262e-05,2.2590691427135844e-05,4.518342441395262e-05,2.2590691427135848e-05,1.0,9.037274265810818e-05,-1.045646936592956e-32,-1.0456206367992882e-32,1.4645084061573879e+23,1.0,1.0
1.214320518319684e-08,82350579.8321307,-18.226496067776537,1.214320518319684e-08,64636598699811.266,-129271891555032.16,6.040295890735491e-09,4.0405733489682603e-05,0.9999595942665103,1.6698282518997227e-28,-1.0000000599999144,-4.518535047109375e-05,4.5180354165801197e-05,4.5183416739646987e-05,2.2590687590156408e-05,4.5183416739646987e-05,2.2590687590156408e-05,1.0,9.037274265802658e-05,-1.0815622356506502e-32,-1.0815352162161037e-32,1.4158765021949057e+23,1.0,1.0
1.2246161992650482e-08,81658236.13585928,-18.21805325576889,1.2246161992650482e-08,63554343367960.734,-127107391870142.94,6.091508859937939e-09,4.074830168532693e-05,0.9999592516983143,1.7271828744164983e-28,-1.000000060474341,-4.518535047109375e-05,4.518034642621445e-05,4.518340900006024e-05,2.2590683720537884e-05,4.518340900006024e-05,2.2590683720537884e-05,1.0,9.037274265805393e-05,-1.1187111285828109e-32,-1.118683372707092e-32,1.3688595215817989e+23,1.0,1.0
1.234999172687583e-08,80971713.16105632,-18.209610443761246,1.234999172687583e-08,62490209077327.28,-124979134175386.12,6.1431560410170635e-09,4.109377412588543e-05,0.9999589062258742,1.7865074864167507e-28,-1.0000000609524997,-4.518535047109375e-05,4.5180338621346584e-05,4.5183401195192374e-05,2.259067981828028e-05,4.5183401195192374e-05,2.259067981828028e-05,1.0,9.037274265791456e-05,-1.1571359858040494e-32,-1.1571074764581884e-32,1.3234038373173314e+23,1.0,1.0
1.2454701787011923e-08,80290961.97133547,-18.201167631753602,1.2454701787011923e-08,61443892412486.34,-122886511640688.45,6.195241115461322e-09,4.144217543110512e-05,0.9999585578245691,1.84786975194597e-28,-1.0000000614344193,-4.518535047109375e-05,4.518033075030943e-05,4.518339332415522e-05,2.2590675882939523e-05,4.518339332415522e-05,2.2590675882939523e-05,1.0,9.037274265777442e-05,-1.1968806330335809e-32,-1.1968513529558211e-32,1.2794576032077574e+23,1.0,1.0
1.2560299636948706e-08,79615934.04173215,-18.19272481974596,1.2560299636948706e-08,60415095038352.95,-120828927596649.47,6.247767795972845e-09,4.1793530429403835e-05,0.9999582064695706,1.9113396591250376e-28,-1.0000000619201292,-4.518535047109375e-05,4.5180322811326624e-05,4.5183385385172414e-05,2.259067191362748e-05,4.5183385385172414e-05,2.2590671913627478e-05,1.0,9.037274265824113e-05,-1.237990401281577e-32,-1.237960332972201e-32,1.236970694730137e+23,1.0,1.0
1.2666792803859152e-08,78946581.25524406,-18.18428200773831,1.2666792803859152e-08,59403523615116.5,-118805795364411.02,6.300739826732127e-09,4.21478641596385e-05,0.9999578521358403,1.9769895999755142e-28,-1.0000000624096592,-4.518535047109375e-05,4.518031480617453e-05,4.518337738002032e-05,2.259066791123228e-05,4.518337738002032e-05,2.259066791123228e-05,1.0,9.03727426581437e-05,-1.2805121784896806e-32,-1.28048130426754e-32,1.1958946518402475e+23,1.0,1.0
