#    L    TT             EE             TE             PP             TP          
   156   0.466530E+04   0.105061E+01  -0.462315E+02   0.326715E+07   0.303900E+04
   157   0.469720E+04   0.104283E+01  -0.460929E+02   0.324813E+07   0.301352E+04
   158   0.472886E+04   0.103469E+01  -0.459280E+02   0.322927E+07   0.298829E+04
   159   0.476026E+04   0.102621E+01  -0.457365E+02   0.321056E+07   0.296329E+04
   160   0.479138E+04   0.101741E+01  -0.455183E+02   0.319201E+07   0.293853E+04
   161   0.482221E+04   0.100831E+01  -0.452731E+02   0.317361E+07   0.291402E+04
   162   0.485273E+04   0.998909E+00  -0.450008E+02   0.315536E+07   0.288974E+04
   163   0.488295E+04   0.989252E+00  -0.447010E+02   0.313727E+07   0.286570E+04
   164   0.491283E+04   0.979336E+00  -0.443738E+02   0.311932E+07   0.284191E+04
   165   0.494237E+04   0.969184E+00  -0.440189E+02   0.310152E+07   0.281835E+04
   166   0.497157E+04   0.958819E+00  -0.436361E+02   0.308387E+07   0.279504E+04
   167   0.500041E+04   0.948266E+00  -0.432253E+02   0.306637E+07   0.277196E+04
   168   0.502889E+04   0.937545E+00  -0.427867E+02   0.304901E+07   0.274913E+04
   169   0.505699E+04   0.926682E+00  -0.423201E+02   0.303180E+07   0.272654E+04
   170   0.508471E+04   0.915691E+00  -0.418253E+02   0.301473E+07   0.270418E+04
   171   0.511203E+04   0.904604E+00  -0.413024E+02   0.299780E+07   0.268207E+04
   172   0.513897E+04   0.893442E+00  -0.407512E+02   0.298102E+07   0.266019E+04
   173   0.516548E+04   0.882230E+00  -0.401719E+02   0.296437E+07   0.263856E+04
   174   0.519158E+04   0.870991E+00  -0.395643E+02   0.294787E+07   0.261717E+04
   175   0.521726E+04   0.859762E+00  -0.389286E+02   0.293150E+07   0.259601E+04
   176   0.524250E+04   0.848560E+00  -0.382648E+02   0.291528E+07   0.257510E+04
   177   0.526730E+04   0.837423E+00  -0.375728E+02   0.289918E+07   0.255442E+04
   178   0.529163E+04   0.826374E+00  -0.368528E+02   0.288323E+07   0.253396E+04
   179   0.531551E+04   0.815437E+00  -0.361048E+02   0.286740E+07   0.251374E+04
   180   0.533892E+04   0.804651E+00  -0.353289E+02   0.285171E+07   0.249373E+04
   181   0.536186E+04   0.794045E+00  -0.345254E+02   0.283615E+07   0.247393E+04
   182   0.538431E+04   0.783653E+00  -0.336942E+02   0.282072E+07   0.245434E+04
   183   0.540627E+04   0.773496E+00  -0.328357E+02   0.280542E+07   0.243496E+04
   184   0.542774E+04   0.763614E+00  -0.319499E+02   0.279024E+07   0.241577E+04
   185   0.544870E+04   0.754045E+00  -0.310370E+02   0.277519E+07   0.239677E+04
   186   0.546915E+04   0.744812E+00  -0.300972E+02   0.276027E+07   0.237796E+04
   187   0.548908E+04   0.735947E+00  -0.291307E+02   0.274547E+07   0.235932E+04
   188   0.550849E+04   0.727492E+00  -0.281377E+02   0.273079E+07   0.234087E+04
   189   0.552736E+04   0.719480E+00  -0.271185E+02   0.271623E+07   0.232258E+04
   190   0.554569E+04   0.711945E+00  -0.260734E+02   0.270179E+07   0.230446E+04
   191   0.556348E+04   0.704920E+00  -0.250026E+02   0.268747E+07   0.228649E+04
   192   0.558071E+04   0.698443E+00  -0.239064E+02   0.267327E+07   0.226868E+04
   193   0.559737E+04   0.692548E+00  -0.227849E+02   0.265918E+07   0.225102E+04
   194   0.561348E+04   0.687271E+00  -0.216387E+02   0.264521E+07   0.223350E+04
   195   0.562901E+04   0.682650E+00  -0.204680E+02   0.263134E+07   0.221612E+04
   196   0.564397E+04   0.678722E+00  -0.192733E+02   0.261759E+07   0.219887E+04
   197   0.565836E+04   0.675525E+00  -0.180549E+02   0.260395E+07   0.218174E+04
   198   0.567217E+04   0.673096E+00  -0.168132E+02   0.259042E+07   0.216474E+04
   199   0.568540E+04   0.671472E+00  -0.155485E+02   0.257700E+07   0.214785E+04
   200   0.569804E+04   0.670689E+00  -0.142613E+02   0.256369E+07   0.213107E+04
   201   0.571009E+04   0.670788E+00  -0.129519E+02   0.255047E+07   0.211440E+04
   202   0.572154E+04   0.671804E+00  -0.116209E+02   0.253737E+07   0.209783E+04
   203   0.573236E+04   0.673774E+00  -0.102686E+02   0.252437E+07   0.208137E+04
   204   0.574257E+04   0.676735E+00  -0.889548E+01   0.251146E+07   0.206501E+04
   205   0.575214E+04   0.680724E+00  -0.750201E+01   0.249867E+07   0.204875E+04
   206   0.576107E+04   0.685777E+00  -0.608859E+01   0.248597E+07   0.203260E+04
   207   0.576934E+04   0.691931E+00  -0.465562E+01   0.247337E+07   0.201655E+04
   208   0.577696E+04   0.699225E+00  -0.320374E+01   0.246087E+07   0.200060E+04
   209   0.578395E+04   0.707692E+00  -0.173349E+01   0.244847E+07   0.198475E+04
   210   0.579029E+04   0.717372E+00  -0.245445E+00   0.243617E+07   0.196900E+04
   211   0.579600E+04   0.728301E+00   0.125981E+01   0.242396E+07   0.195336E+04
   212   0.580109E+04   0.740515E+00   0.278171E+01   0.241185E+07   0.193781E+04
   213   0.580555E+04   0.754052E+00   0.431966E+01   0.239984E+07   0.192237E+04
   214   0.580940E+04   0.768949E+00   0.587309E+01   0.238792E+07   0.190702E+04
   215   0.581264E+04   0.785236E+00   0.744140E+01   0.237609E+07   0.189177E+04
   216   0.581525E+04   0.802958E+00   0.902396E+01   0.236435E+07   0.187663E+04
   217   0.581723E+04   0.822145E+00   0.106201E+02   0.235271E+07   0.186158E+04
   218   0.581859E+04   0.842827E+00   0.122294E+02   0.234115E+07   0.184662E+04
   219   0.581931E+04   0.865049E+00   0.138511E+02   0.232969E+07   0.183177E+04
   220   0.581938E+04   0.888841E+00   0.154846E+02   0.231832E+07   0.181701E+04
   221   0.581882E+04   0.914232E+00   0.171291E+02   0.230703E+07   0.180235E+04
   222   0.581762E+04   0.941267E+00   0.187843E+02   0.229583E+07   0.178779E+04
   223   0.581577E+04   0.969969E+00   0.204493E+02   0.228472E+07   0.177332E+04
   224   0.581328E+04   0.100038E+01   0.221235E+02   0.227369E+07   0.175895E+04
   225   0.581017E+04   0.103251E+01   0.238061E+02   0.226275E+07   0.174467E+04
   226   0.580641E+04   0.106641E+01   0.254965E+02   0.225189E+07   0.173049E+04
   227   0.580201E+04   0.110212E+01   0.271941E+02   0.224111E+07   0.171640E+04
