#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.213425E-01   0.110660E+08   0.110323E+08  -0.268033E+03   0.102928E+04   0.000000E+00   0.110606E+08   0.110606E+08   0.110606E+08  -0.272020E+00   0.578645E+07   0.578589E+07   0.865979E+01
   0.235652E-01   0.103435E+08   0.103060E+08  -0.183185E+03   0.740784E+03   0.000000E+00   0.103375E+08   0.103375E+08   0.103375E+08  -0.254218E+00   0.540812E+07   0.540756E+07   0.797718E+01
   0.260194E-01   0.960046E+07   0.955937E+07  -0.173802E+03   0.590769E+03   0.000000E+00   0.959386E+07   0.959386E+07   0.959386E+07  -0.235912E+00   0.501908E+07   0.501851E+07   0.730221E+01
   0.287291E-01   0.884767E+07   0.880356E+07  -0.960218E+02   0.432943E+03   0.000000E+00   0.884058E+07   0.884058E+07   0.884058E+07  -0.217368E+00   0.462499E+07   0.462442E+07   0.661390E+01
   0.317210E-01   0.809965E+07   0.805348E+07  -0.124338E+03   0.338690E+03   0.000000E+00   0.809223E+07   0.809223E+07   0.809223E+07  -0.198945E+00   0.423348E+07   0.423292E+07   0.589617E+01
   0.350245E-01   0.737435E+07   0.732754E+07  -0.653955E+02   0.254451E+03   0.000000E+00   0.736682E+07   0.736682E+07   0.736682E+07  -0.181086E+00   0.385397E+07   0.385343E+07   0.514036E+01
   0.386721E-01   0.669180E+07   0.664616E+07  -0.470420E+02   0.177434E+03   0.000000E+00   0.668447E+07   0.668447E+07   0.668447E+07  -0.164286E+00   0.349699E+07   0.349649E+07   0.434900E+01
   0.426995E-01   0.607126E+07   0.602889E+07  -0.420710E+02   0.135778E+03   0.000000E+00   0.606445E+07   0.606445E+07   0.606445E+07  -0.149019E+00   0.317262E+07   0.317217E+07   0.353954E+01
   0.469694E-01   0.554581E+07   0.550852E+07  -0.372790E+02   0.102816E+03   0.000000E+00   0.553981E+07   0.553981E+07   0.553981E+07  -0.136100E+00   0.289814E+07   0.289775E+07   0.277614E+01
   0.512394E-01   0.513007E+07   0.509869E+07  -0.298359E+02   0.811611E+02   0.000000E+00   0.512503E+07   0.512503E+07   0.512503E+07  -0.125889E+00   0.268114E+07   0.268081E+07   0.213056E+01
   0.555093E-01   0.479503E+07   0.476954E+07  -0.248215E+02   0.623406E+02   0.000000E+00   0.479093E+07   0.479093E+07   0.479093E+07  -0.117670E+00   0.250634E+07   0.250608E+07   0.161483E+01
   0.597792E-01   0.451319E+07   0.449287E+07  -0.148241E+02   0.527729E+02   0.000000E+00   0.450993E+07   0.450993E+07   0.450993E+07  -0.110769E+00   0.235933E+07   0.235911E+07   0.122983E+01
   0.640492E-01   0.426149E+07   0.424511E+07  -0.116844E+02   0.405649E+02   0.000000E+00   0.425886E+07   0.425886E+07   0.425886E+07  -0.104619E+00   0.222797E+07   0.222779E+07   0.965426E+00
   0.683191E-01   0.402318E+07   0.400928E+07  -0.103421E+02   0.355820E+02   0.000000E+00   0.402095E+07   0.402095E+07   0.402095E+07  -0.988068E-01   0.210351E+07   0.210334E+07   0.802737E+00
   0.725891E-01   0.378853E+07   0.377571E+07  -0.102688E+02   0.274871E+02   0.000000E+00   0.378647E+07   0.378647E+07   0.378647E+07  -0.930876E-01   0.198084E+07   0.198069E+07   0.717526E+00
   0.768590E-01   0.355430E+07   0.354138E+07  -0.745623E+01   0.243807E+02   0.000000E+00   0.355223E+07   0.355223E+07   0.355223E+07  -0.873752E-01   0.185830E+07   0.185814E+07   0.683805E+00
   0.811290E-01   0.332261E+07   0.330882E+07  -0.127301E+02   0.192719E+02   0.000000E+00   0.332039E+07   0.332039E+07   0.332039E+07  -0.817169E-01   0.173702E+07   0.173686E+07   0.677219E+00
   0.853989E-01   0.309893E+07   0.308395E+07  -0.415801E+01   0.169380E+02   0.000000E+00   0.309652E+07   0.309652E+07   0.309652E+07  -0.762455E-01   0.161991E+07   0.161974E+07   0.677600E+00
   0.896689E-01   0.288990E+07   0.287386E+07  -0.927705E+01   0.139612E+02   0.000000E+00   0.288733E+07   0.288733E+07   0.288733E+07  -0.711256E-01   0.151048E+07   0.151030E+07   0.670553E+00
   0.950018E-01   0.265842E+07   0.264166E+07  -0.555717E+01   0.119036E+02   0.000000E+00   0.265573E+07   0.265573E+07   0.265573E+07  -0.654495E-01   0.138933E+07   0.138914E+07   0.639573E+00
   0.100335E+00   0.246617E+07   0.244970E+07  -0.966668E+01   0.100032E+02   0.000000E+00   0.246352E+07   0.246352E+07   0.246352E+07  -0.607330E-01   0.128877E+07   0.128860E+07   0.581467E+00
   0.105668E+00   0.231348E+07   0.229828E+07  -0.544678E+01   0.822712E+01   0.000000E+00   0.231104E+07   0.231104E+07   0.231104E+07  -0.569881E-01   0.120901E+07   0.120885E+07   0.503284E+00
   0.111000E+00   0.219432E+07   0.218107E+07  -0.429368E+00   0.683721E+01   0.000000E+00   0.219219E+07   0.219219E+07   0.219219E+07  -0.540673E-01   0.114683E+07   0.114669E+07   0.417499E+00
   0.116333E+00   0.209838E+07   0.208732E+07  -0.331670E+01   0.596687E+01   0.000000E+00   0.209661E+07   0.209661E+07   0.209661E+07  -0.517169E-01   0.109682E+07   0.109671E+07   0.337183E+00
   0.121666E+00   0.201418E+07   0.200509E+07  -0.362703E+01   0.544529E+01   0.000000E+00   0.201272E+07   0.201272E+07   0.201272E+07  -0.496528E-01   0.105294E+07   0.105284E+07   0.272313E+00
   0.126999E+00   0.193192E+07   0.192425E+07  -0.261204E+01   0.496470E+01   0.000000E+00   0.193069E+07   0.193069E+07   0.193069E+07  -0.476326E-01   0.101002E+07   0.100993E+07   0.227817E+00
   0.132332E+00   0.184549E+07   0.183853E+07  -0.300389E+01   0.435499E+01   0.000000E+00   0.184437E+07   0.184437E+07   0.184437E+07  -0.455058E-01   0.964865E+06   0.964784E+06   0.203357E+00
   0.137665E+00   0.175321E+07   0.174633E+07  -0.201671E+01   0.368400E+01   0.000000E+00   0.175210E+07   0.175210E+07   0.175210E+07  -0.432315E-01   0.916598E+06   0.916518E+06   0.194494E+00
   0.142998E+00   0.165729E+07   0.165003E+07  -0.179996E+01   0.312533E+01   0.000000E+00   0.165612E+07   0.165612E+07   0.165612E+07  -0.408649E-01   0.866387E+06   0.866304E+06   0.194615E+00
   0.148331E+00   0.156236E+07   0.155456E+07  -0.148290E+01   0.276363E+01   0.000000E+00   0.156110E+07   0.156110E+07   0.156110E+07  -0.385218E-01   0.816681E+06   0.816594E+06   0.196967E+00
   0.153664E+00   0.147367E+07   0.146542E+07  -0.732460E+00   0.252961E+01   0.000000E+00   0.147234E+07   0.147234E+07   0.147234E+07  -0.363328E-01   0.770249E+06   0.770159E+06   0.196277E+00
   0.158997E+00   0.139544E+07   0.138703E+07  -0.186976E+01   0.229696E+01   0.000000E+00   0.139409E+07   0.139409E+07   0.139409E+07  -0.344028E-01   0.729309E+06   0.729219E+06   0.189662E+00
   0.164329E+00   0.132975E+07   0.132156E+07  -0.159992E+01   0.201305E+01   0.000000E+00   0.132843E+07   0.132843E+07   0.132843E+07  -0.327836E-01   0.694963E+06   0.694876E+06   0.176747E+00
   0.169662E+00   0.127624E+07   0.126860E+07  -0.263116E+00   0.173119E+01   0.000000E+00   0.127501E+07   0.127501E+07   0.127501E+07  -0.314663E-01   0.667017E+06   0.666936E+06   0.159157E+00
   0.174995E+00   0.123249E+07   0.122560E+07  -0.110180E+01   0.153305E+01   0.000000E+00   0.123138E+07   0.123138E+07   0.123138E+07  -0.303904E-01   0.644190E+06   0.644116E+06   0.139635E+00
   0.180328E+00   0.119484E+07   0.118877E+07  -0.115166E+01   0.143539E+01   0.000000E+00   0.119387E+07   0.119387E+07   0.119387E+07  -0.294656E-01   0.624566E+06   0.624500E+06   0.121078E+00
   0.185661E+00   0.115953E+07   0.115418E+07  -0.512834E-01   0.137603E+01   0.000000E+00   0.115867E+07   0.115867E+07   0.115867E+07  -0.285980E-01   0.606152E+06   0.606093E+06   0.105756E+00
   0.190994E+00   0.112354E+07   0.111869E+07  -0.556176E+00   0.128094E+01   0.000000E+00   0.112276E+07   0.112276E+07   0.112276E+07  -0.277129E-01   0.587366E+06   0.587312E+06   0.948554E-01
   0.196327E+00   0.108522E+07   0.108063E+07  -0.898307E+00   0.113493E+01   0.000000E+00   0.108449E+07   0.108449E+07   0.108449E+07  -0.267695E-01   0.567341E+06   0.567289E+06   0.883901E-01
   0.201660E+00   0.104443E+07   0.103988E+07  -0.408494E+00   0.985653E+00   0.000000E+00   0.104370E+07   0.104370E+07   0.104370E+07  -0.257642E-01   0.546006E+06   0.545954E+06   0.854263E-01
   0.206993E+00   0.100228E+07   0.997618E+06  -0.588876E+00   0.885612E+00   0.000000E+00   0.100153E+07   0.100153E+07   0.100153E+07  -0.247245E-01   0.523946E+06   0.523893E+06   0.844935E-01
