a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.4136221234231837e-08,70740261.43862334,-18.07452545163893,1.4136221234231837e-08,47695800858119.42,-95390456875626.45,5.654488493692734e-10,4.800592889845567e-05,0.9999519940711016,3.0393089321074504e-28,-1.000000005559472,1.0131029773691502e-28,3.0392845808387943e-28,3.0392845808387943e-28,1.5196422904193972e-28,3.0392845808387943e-28,1.5196422904193972e-28,1.0,-2.0262060054291603e-28,2.2266761223222956e-55,4.453416366906245e-56,1.6709068897508126,1.0,1.0
1.4256075936021876e-08,70145528.84199715,-18.066082639631283,1.4256075936021876e-08,46897198546761.91,-93793261878128.39,5.70243037440875e-10,4.841293000870382e-05,0.9999515870699914,3.1437017466263613e-28,-1.0000000056033989,1.0479005822087872e-28,3.1436763454267602e-28,3.1436763454267602e-28,1.57183817271338e-28,3.1436763454267602e-28,1.5718381727133801e-28,1.0,-2.0958012172638173e-28,2.382264499043051e-55,4.764598182514835e-56,1.6709069017501688,1.0,1.0
1.4376946832260378e-08,69555796.3238173,-18.05763982762364,1.4376946832260378e-08,46111967841184.734,-92222810011269.16,5.750778732904152e-10,4.882338156391905e-05,0.9999511766184358,3.2516801873102803e-28,-1.0000000056476708,1.0838933957700935e-28,3.251653690911023e-28,3.251653690911023e-28,1.6258268454555116e-28,3.251653690911023e-28,1.6258268454555116e-28,1.0,-2.167786846633444e-28,2.5487245502264327e-55,5.097523746683461e-56,1.6709069138510932,1.0,1.0
1.4498842538805943e-08,68971021.8470662,-18.049197015615995,1.4498842538805943e-08,45339884849754.86,-90678653492463.1,5.799537015522377e-10,4.92373128131688e-05,0.9999507626871869,3.3633674107631374e-28,-1.0000000056922906,1.121122470254379e-28,3.363339771943723e-28,3.363339771943723e-28,1.6816698859718615e-28,3.363339771943723e-28,1.6816698859718615e-28,1.0,-2.2422449979445554e-28,2.7268159281016194e-55,5.45371239541973e-56,1.6709069260544445,1.0,1.0
1.4621771744567133e-08,68391163.72814316,-18.04075420360835,1.4621771744567133e-08,44580729429644.33,-89160352036728.81,5.848708697826853e-10,4.9654753253412724e-05,0.9999503452467468,3.478890803665683e-28,-1.000000005737261,1.159630267888561e-28,3.4788619731696643e-28,3.4788619731696643e-28,1.7394309865848321e-28,3.4788619731696643e-28,1.7394309865848321e-28,1.0,-2.319260595655037e-28,2.9173513650502435e-55,5.834789627526834e-56,1.6709069383610904,1.0,1.0
1.4745743212121939e-08,67816180.63389258,-18.032311391600704,1.4745743212121939e-08,43834285124060.09,-87667472731149.17,5.898297284848776e-10,5.007573263160332e-05,0.9999499242673682,3.5983821280657285e-28,-1.000000005782585,1.1994607093552427e-28,3.5983520545129346e-28,3.5983520545129346e-28,1.7991760272564673e-28,3.5983520545129346e-28,1.7991760272564673e-28,1.0,-2.3989214811343367e-28,3.1212003825340707e-55,6.242494522655492e-56,1.670906950771904,1.0,1.0
1.4870765778342174e-08,67246031.57865866,-18.02386857959306,1.4870765778342174e-08,43100339100526.91,-86199589911437.06,5.94830631133687e-10,5.0500280946803054e-05,0.999949499719053,3.7219776716583075e-28,-1.000000005828265,1.2406592238861025e-28,3.7219463014532807e-28,3.7219463014532807e-28,1.8609731507266403e-28,3.7219463014532807e-28,1.8609731507266403e-28,1.0,-2.4813185128502227e-28,3.339293259179277e-55,6.678687677684681e-56,1.6709069632877678,1.0,1.0
1.4996848355023695e-08,66680675.921362385,-18.015425767585416,1.4996848355023695e-08,42378682090200.44,-84756285040561.5,5.998739342009478e-10,5.092842845232119e-05,0.9999490715715476,3.8498184032279627e-28,-1.000000005874304,1.2832728010759876e-28,3.8497856804644387e-28,3.8497856804644387e-28,1.9248928402322194e-28,3.8497856804644387e-28,1.9248928402322194e-28,1.0,-2.566545669996986e-28,3.57262527612701e-55,7.1453596976516505e-56,1.670906975909571,1.0,1.0
1.5123999929521496e-08,66120073.36260539,-18.00698295557777,1.5123999929521496e-08,41669108328199.3,-83337146589411.92,6.049599971808599e-10,5.1360205657867204e-05,0.9999486397943419,3.9820501334295112e-28,-1.0000000059207046,1.3273500444765037e-28,3.9820159997907936e-28,3.9820159997907936e-28,1.9910079998953968e-28,3.9820159997907936e-28,1.9910079998953968e-28,1.0,-2.6547001596826367e-28,3.8222612590221856e-55,7.644640279976468e-56,1.6709069886382095,1.0,1.0
1.525222956539017e-08,65564183.941797964,-17.998540143570125,1.525222956539017e-08,40971415494936.09,-81941769919460.33,6.100891826156069e-10,5.1795643331722416e-05,0.9999482043566685,4.118823681091054e-28,-1.0000000059674696,1.3729412270303511e-28,4.118788075746089e-28,4.118788075746089e-28,2.0593940378730445e-28,4.118788075746089e-28,2.0593940378730445e-28,1.0,-2.7458825277975705e-28,4.089340437368334e-55,8.178807933438167e-56,1.6709070014745884,1.0,1.0
