a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
1.498415267655258700e-04,-1.000281424198975477e+00,2.441111460347659004e-12,8.619882747373163961e-13,-4.309941373686581981e-13
1.720777469192465582e-04,-1.000316426716094442e+00,4.023783906715630871e-12,1.428877148059828120e-12,-7.144385740299140598e-13
1.964117079094808861e-04,-1.000353883106262165e+00,6.459743627108875334e-12,2.306843603692871459e-12,-1.153421801846435730e-12
2.229379658834743951e-04,-1.000393838703803606e+00,1.012367271755733841e-11,3.635476367301974595e-12,-1.817738183650987297e-12
2.517510769884728707e-04,-1.000436335658382525e+00,1.552031563721647754e-11,5.604097867572819502e-12,-2.802048933786409751e-12
2.829455973717219085e-04,-1.000481412901766287e+00,2.331868349023963970e-11,8.465233394959187815e-12,-4.232616697479593907e-12
3.166160831804671586e-04,-1.000529106155577441e+00,3.439269269393995577e-11,1.255068185413294558e-11,-6.275340927066472790e-12
3.528570905619542435e-04,-1.000579447974570435e+00,4.986905850220055317e-11,1.829052028603069223e-11,-9.145260143015346114e-12
3.917631756634285694e-04,-1.000632467818413307e+00,7.118333748662546941e-11,2.623540330807883450e-11,-1.311770165403941725e-11
4.334288946321363011e-04,-1.000688192144535860e+00,1.001450900678811106e-10,3.708254955492787952e-11,-1.854127477746393976e-11
4.779488036153227903e-04,-1.000746644515013495e+00,1.390132139332085524e-10,5.170583983348827545e-11,-2.585291991674413772e-11
5.254174587602337141e-04,-1.000807845711336741e+00,1.905825813201229164e-10,7.119048581684268117e-11,-3.559524290842134059e-11
5.759294162141146952e-04,-1.000871813852050707e+00,2.582831975510993793e-10,9.687276353612328078e-11,-4.843638176806164039e-11
6.295792321242113564e-04,-1.000938564509397555e+00,3.462931848840580975e-10,1.303853425959158165e-10,-6.519267129795790824e-11
6.864614626377694290e-04,-1.001008110822186659e+00,4.596669848070296057e-10,1.737087799000506103e-10,-8.685438995002530516e-11
7.466706639020341020e-04,-1.001080463603039261e+00,6.044802635052583772e-10,2.292297857348460774e-10,-1.146148928674230387e-10
8.103013920642518656e-04,-1.001155631438916727e+00,7.879930995274956582e-10,2.998069103475395302e-10,-1.499034551737697651e-10
8.774482032716678006e-04,-1.001233620784417910e+00,1.018833129826652072e-09,3.888443407261253751e-10,-1.944221703630626875e-10
9.482056536715277465e-04,-1.001314436047763934e+00,1.307200430478881582e-09,5.003745401874920245e-10,-2.501872700937460123e-10
1.022668299411077326e-03,-1.001398079669671093e+00,1.665096011602003979e-09,6.391505076690279960e-10,-3.195752538345139980e-10
1.100930696637562054e-03,-1.001484552195518241e+00,2.106575912385235016e-09,8.107484793478240961e-10,-4.053742396739120480e-10
1.183087401498227227e-03,-1.001573852341303583e+00,2.648032991776642391e-09,1.021681942430185388e-09,-5.108409712150926942e-10
1.269232970140319336e-03,-1.001665977053953549e+00,3.308508623308559742e-09,1.279527879706710801e-09,-6.397639398533554007e-10
1.359461958711083570e-03,-1.001760921566542395e+00,4.110036618822015236e-09,1.593066213794758095e-09,-7.965331068973790474e-10
