#    L    TT             EE             BB             TE          
   191   0.555904E+04   0.721660E+00   0.118432E-01  -0.247921E+02
   192   0.557611E+04   0.715583E+00   0.119831E-01  -0.236966E+02
   193   0.559262E+04   0.710095E+00   0.121238E-01  -0.225760E+02
   194   0.560857E+04   0.705230E+00   0.122654E-01  -0.214309E+02
   195   0.562395E+04   0.701027E+00   0.124078E-01  -0.202615E+02
   196   0.563875E+04   0.697522E+00   0.125509E-01  -0.190683E+02
   197   0.565298E+04   0.694753E+00   0.126949E-01  -0.178515E+02
   198   0.566664E+04   0.692758E+00   0.128397E-01  -0.166117E+02
   199   0.567971E+04   0.691572E+00   0.129852E-01  -0.153490E+02
   200   0.569220E+04   0.691233E+00   0.131315E-01  -0.140641E+02
   201   0.570409E+04   0.691779E+00   0.132785E-01  -0.127571E+02
   202   0.571539E+04   0.693247E+00   0.134263E-01  -0.114288E+02
   203   0.572606E+04   0.695673E+00   0.135748E-01  -0.100793E+02
   204   0.573612E+04   0.699093E+00   0.137240E-01  -0.870929E+01
   205   0.574553E+04   0.703545E+00   0.138739E-01  -0.731911E+01
   206   0.575431E+04   0.709064E+00   0.140244E-01  -0.590920E+01
   207   0.576243E+04   0.715688E+00   0.141757E-01  -0.447996E+01
   208   0.576990E+04   0.723454E+00   0.143276E-01  -0.303201E+01
   209   0.577674E+04   0.732396E+00   0.144802E-01  -0.156593E+01
   210   0.578294E+04   0.742553E+00   0.146334E-01  -0.822759E-01
   211   0.578850E+04   0.753961E+00   0.147872E-01   0.141837E+01
   212   0.579344E+04   0.766655E+00   0.149417E-01   0.293541E+01
   213   0.579776E+04   0.780674E+00   0.150967E-01   0.446829E+01
   214   0.580147E+04   0.796053E+00   0.152523E-01   0.601642E+01
   215   0.580456E+04   0.812822E+00   0.154085E-01   0.757919E+01
   216   0.580703E+04   0.831028E+00   0.155652E-01   0.915598E+01
   217   0.580888E+04   0.850698E+00   0.157225E-01   0.107461E+02
   218   0.581009E+04   0.871862E+00   0.158803E-01   0.123492E+02
   219   0.581068E+04   0.894566E+00   0.160385E-01   0.139643E+02
   220   0.581062E+04   0.918838E+00   0.161973E-01   0.155911E+02
   221   0.580993E+04   0.944707E+00   0.163566E-01   0.172288E+02
   222   0.580859E+04   0.972219E+00   0.165163E-01   0.188768E+02
   223   0.580662E+04   0.100139E+01   0.166764E-01   0.205343E+02
   224   0.580401E+04   0.103227E+01   0.168370E-01   0.222008E+02
   225   0.580077E+04   0.106487E+01   0.169979E-01   0.238755E+02
   226   0.579689E+04   0.109924E+01   0.171593E-01   0.255578E+02
   227   0.579237E+04   0.113540E+01   0.173210E-01   0.272469E+02
   228   0.578723E+04   0.117338E+01   0.174830E-01   0.289422E+02
   229   0.578147E+04   0.121322E+01   0.176454E-01   0.306430E+02
   230   0.577507E+04   0.125494E+01   0.178081E-01   0.323486E+02
   231   0.576805E+04   0.129856E+01   0.179711E-01   0.340582E+02
   232   0.576041E+04   0.134412E+01   0.181344E-01   0.357711E+02
   233   0.575215E+04   0.139164E+01   0.182979E-01   0.374866E+02
   234   0.574327E+04   0.144115E+01   0.184617E-01   0.392039E+02
   235   0.573378E+04   0.149268E+01   0.186256E-01   0.409223E+02
   236   0.572367E+04   0.154625E+01   0.187898E-01   0.426412E+02
   237   0.571297E+04   0.160188E+01   0.189541E-01   0.443596E+02
   238   0.570165E+04   0.165959E+01   0.191185E-01   0.460769E+02
   239   0.568974E+04   0.171939E+01   0.192831E-01   0.477924E+02
   240   0.567722E+04   0.178133E+01   0.194478E-01   0.495051E+02
   241   0.566411E+04   0.184542E+01   0.196126E-01   0.512145E+02
